geoName,Apartment,year
Alabama,56,2005-01-31
Alaska,0,2005-01-31
Arizona,54,2005-01-31
Arkansas,23,2005-01-31
California,46,2005-01-31
Colorado,20,2005-01-31
Connecticut,36,2005-01-31
Delaware,0,2005-01-31
District of Columbia,44,2005-01-31
Florida,66,2005-01-31
Georgia,60,2005-01-31
Hawaii,65,2005-01-31
Idaho,28,2005-01-31
Illinois,62,2005-01-31
Indiana,14,2005-01-31
Iowa,12,2005-01-31
Kansas,11,2005-01-31
Kentucky,60,2005-01-31
Louisiana,45,2005-01-31
Maine,42,2005-01-31
Maryland,60,2005-01-31
Massachusetts,38,2005-01-31
Michigan,40,2005-01-31
Minnesota,28,2005-01-31
Mississippi,0,2005-01-31
Missouri,41,2005-01-31
Montana,0,2005-01-31
Nebraska,16,2005-01-31
Nevada,51,2005-01-31
New Hampshire,37,2005-01-31
New Jersey,44,2005-01-31
New Mexico,23,2005-01-31
New York,66,2005-01-31
North Carolina,54,2005-01-31
North Dakota,0,2005-01-31
Ohio,20,2005-01-31
Oklahoma,25,2005-01-31
Oregon,40,2005-01-31
Pennsylvania,36,2005-01-31
Rhode Island,39,2005-01-31
South Carolina,100,2005-01-31
South Dakota,0,2005-01-31
Tennessee,40,2005-01-31
Texas,64,2005-01-31
Utah,59,2005-01-31
Vermont,0,2005-01-31
Virginia,52,2005-01-31
Washington,49,2005-01-31
West Virginia,0,2005-01-31
Wisconsin,40,2005-01-31
Wyoming,0,2005-01-31
Alabama,28,2005-02-28
Alaska,27,2005-02-28
Arizona,44,2005-02-28
Arkansas,0,2005-02-28
California,40,2005-02-28
Colorado,71,2005-02-28
Connecticut,17,2005-02-28
Delaware,100,2005-02-28
District of Columbia,61,2005-02-28
Florida,68,2005-02-28
Georgia,52,2005-02-28
Hawaii,33,2005-02-28
Idaho,67,2005-02-28
Illinois,56,2005-02-28
Indiana,41,2005-02-28
Iowa,20,2005-02-28
Kansas,36,2005-02-28
Kentucky,25,2005-02-28
Louisiana,19,2005-02-28
Maine,0,2005-02-28
Maryland,45,2005-02-28
Massachusetts,44,2005-02-28
Michigan,46,2005-02-28
