geoName,Home,year
Alabama,15,2005-01-31
Alaska,0,2005-01-31
Arizona,42,2005-01-31
Arkansas,19,2005-01-31
California,18,2005-01-31
Colorado,27,2005-01-31
Connecticut,16,2005-01-31
Delaware,100,2005-01-31
District of Columbia,21,2005-01-31
Florida,31,2005-01-31
Georgia,25,2005-01-31
Hawaii,24,2005-01-31
Idaho,0,2005-01-31
Illinois,17,2005-01-31
Indiana,15,2005-01-31
Iowa,13,2005-01-31
Kansas,18,2005-01-31
Kentucky,25,2005-01-31
Louisiana,6,2005-01-31
Maine,17,2005-01-31
Maryland,18,2005-01-31
Massachusetts,12,2005-01-31
Michigan,13,2005-01-31
Minnesota,22,2005-01-31
Mississippi,23,2005-01-31
Missouri,25,2005-01-31
Montana,0,2005-01-31
Nebraska,35,2005-01-31
Nevada,28,2005-01-31
New Hampshire,25,2005-01-31
New Jersey,16,2005-01-31
New Mexico,19,2005-01-31
New York,14,2005-01-31
North Carolina,25,2005-01-31
North Dakota,14,2005-01-31
Ohio,14,2005-01-31
Oklahoma,10,2005-01-31
Oregon,26,2005-01-31
Pennsylvania,13,2005-01-31
Rhode Island,5,2005-01-31
South Carolina,31,2005-01-31
South Dakota,13,2005-01-31
Tennessee,24,2005-01-31
Texas,21,2005-01-31
Utah,16,2005-01-31
Vermont,24,2005-01-31
Virginia,22,2005-01-31
Washington,27,2005-01-31
West Virginia,56,2005-01-31
Wisconsin,19,2005-01-31
Wyoming,34,2005-01-31
Alabama,38,2005-02-28
Alaska,62,2005-02-28
Arizona,55,2005-02-28
Arkansas,22,2005-02-28
California,45,2005-02-28
Colorado,69,2005-02-28
Connecticut,36,2005-02-28
Delaware,57,2005-02-28
District of Columbia,40,2005-02-28
Florida,56,2005-02-28
Georgia,43,2005-02-28
Hawaii,38,2005-02-28
Idaho,51,2005-02-28
Illinois,33,2005-02-28
Indiana,40,2005-02-28
Iowa,17,2005-02-28
Kansas,56,2005-02-28
Kentucky,50,2005-02-28
Louisiana,48,2005-02-28
Maine,45,2005-02-28
Maryland,49,2005-02-28
Massachusetts,21,2005-02-28
Michigan,34,2005-02-28
Minnesota,35,2005-02-28
Mississippi,55,2005-02-28
Missouri,37,2005-02-28
Montana,75,2005-02-28
Nebraska,30,2005-02-28
Nevada,46,2005-02-28
New Hampshire,34,2005-02-28
New Jersey,45,2005-02-28
New Mexico,22,2005-02-28
New York,28,2005-02-28
North Carolina,45,2005-02-28
North Dakota,100,2005-02-28
Ohio,37,2005-02-28
Oklahoma,30,2005-02-28
Oregon,41,2005-02-28
Pennsylvania,22,2005-02-28
Rhode Island,70,2005-02-28
South Carolina,48,2005-02-28
South Dakota,66,2005-02-28
Tennessee,32,2005-02-28
Texas,53,2005-02-28
Utah,65,2005-02-28
Vermont,66,2005-02-28
Virginia,39,2005-02-28
Washington,46,2005-02-28
West Virginia,33,2005-02-28
Wisconsin,46,2005-02-28
Wyoming,83,2005-02-28
Alabama,33,2005-03-31
