geoName,Investment,year
Alabama,0,2005-01-31
Alaska,0,2005-01-31
Arizona,12,2005-01-31
Arkansas,0,2005-01-31
California,23,2005-01-31
Colorado,25,2005-01-31
Connecticut,18,2005-01-31
Delaware,100,2005-01-31
District of Columbia,14,2005-01-31
Florida,29,2005-01-31
Georgia,27,2005-01-31
Hawaii,0,2005-01-31
Idaho,68,2005-01-31
Illinois,10,2005-01-31
Indiana,0,2005-01-31
Iowa,0,2005-01-31
Kansas,27,2005-01-31
Kentucky,0,2005-01-31
Louisiana,0,2005-01-31
Maine,52,2005-01-31
Maryland,0,2005-01-31
Massachusetts,12,2005-01-31
Michigan,24,2005-01-31
Minnesota,0,2005-01-31
Mississippi,0,2005-01-31
Missouri,11,2005-01-31
Montana,0,2005-01-31
Nebraska,40,2005-01-31
Nevada,0,2005-01-31
New Hampshire,46,2005-01-31
New Jersey,29,2005-01-31
New Mexico,0,2005-01-31
New York,8,2005-01-31
North Carolina,19,2005-01-31
North Dakota,0,2005-01-31
Ohio,21,2005-01-31
Oklahoma,0,2005-01-31
Oregon,0,2005-01-31
Pennsylvania,6,2005-01-31
Rhode Island,97,2005-01-31
South Carolina,0,2005-01-31
South Dakota,0,2005-01-31
Tennessee,17,2005-01-31
Texas,14,2005-01-31
Utah,29,2005-01-31
Vermont,0,2005-01-31
Virginia,6,2005-01-31
Washington,8,2005-01-31
West Virginia,0,2005-01-31
Wisconsin,12,2005-01-31
Wyoming,0,2005-01-31
Alabama,0,2005-02-28
Alaska,0,2005-02-28
Arizona,12,2005-02-28
Arkansas,0,2005-02-28
California,18,2005-02-28
Colorado,31,2005-02-28
Connecticut,9,2005-02-28
Delaware,100,2005-02-28
District of Columbia,26,2005-02-28
Florida,23,2005-02-28
Georgia,13,2005-02-28
Hawaii,0,2005-02-28
Idaho,33,2005-02-28
Illinois,12,2005-02-28
Indiana,9,2005-02-28
Iowa,30,2005-02-28
Kansas,0,2005-02-28
Kentucky,19,2005-02-28
Louisiana,14,2005-02-28
Maine,0,2005-02-28
Maryland,6,2005-02-28
Massachusetts,6,2005-02-28
Michigan,12,2005-02-28
Minnesota,17,2005-02-28
Mississippi,0,2005-02-28
Missouri,0,2005-02-28
Montana,0,2005-02-28
Nebraska,19,2005-02-28
Nevada,20,2005-02-28
New Hampshire,45,2005-02-28
New Jersey,7,2005-02-28
New Mexico,29,2005-02-28
New York,9,2005-02-28
North Carolina,0,2005-02-28
North Dakota,65,2005-02-28
Ohio,24,2005-02-28
Oklahoma,0,2005-02-28
Oregon,25,2005-02-28
Pennsylvania,8,2005-02-28
Rhode Island,23,2005-02-28
South Carolina,0,2005-02-28
South Dakota,0,2005-02-28
Tennessee,25,2005-02-28
Texas,9,2005-02-28
Utah,0,2005-02-28
Vermont,0,2005-02-28
Virginia,6,2005-02-28
Washington,4,2005-02-28
West Virginia,0,2005-02-28
Wisconsin,0,2005-02-28
Wyoming,0,2005-02-28
Alabama,0,2005-03-31
Alaska,86,2005-03-31
Arizona,38,2005-03-31
Arkansas,0,2005-03-31
California,41,2005-03-31
Colorado,26,2005-03-31
Connecticut,0,2005-03-31
Delaware,0,2005-03-31
District of Columbia,15,2005-03-31
Florida,29,2005-03-31
Georgia,21,2005-03-31
Hawaii,0,2005-03-31
Idaho,0,2005-03-31
Illinois,0,2005-03-31
Indiana,0,2005-03-31
Iowa,31,2005-03-31
Kansas,0,2005-03-31
Kentucky,0,2005-03-31
Louisiana,0,2005-03-31
Maine,54,2005-03-31
Maryland,12,2005-03-31
Massachusetts,27,2005-03-31
Michigan,0,2005-03-31
Minnesota,25,2005-03-31
Mississippi,0,2005-03-31
Missouri,36,2005-03-31
Montana,0,2005-03-31
Nebraska,0,2005-03-31
Nevada,0,2005-03-31
New Hampshire,0,2005-03-31
New Jersey,15,2005-03-31
New Mexico,60,2005-03-31
New York,20,2005-03-31
North Carolina,40,2005-03-31
