geoName,Mortgage,year
Alabama,0,2005-01-31
Alaska,0,2005-01-31
Arizona,0,2005-01-31
Arkansas,0,2005-01-31
California,10,2005-01-31
Colorado,32,2005-01-31
Connecticut,15,2005-01-31
Delaware,0,2005-01-31
District of Columbia,48,2005-01-31
Florida,29,2005-01-31
Georgia,6,2005-01-31
Hawaii,0,2005-01-31
Idaho,0,2005-01-31
Illinois,13,2005-01-31
Indiana,30,2005-01-31
Iowa,0,2005-01-31
Kansas,24,2005-01-31
Kentucky,0,2005-01-31
Louisiana,0,2005-01-31
Maine,0,2005-01-31
Maryland,0,2005-01-31
Massachusetts,27,2005-01-31
Michigan,0,2005-01-31
Minnesota,20,2005-01-31
Mississippi,0,2005-01-31
Missouri,20,2005-01-31
Montana,0,2005-01-31
Nebraska,0,2005-01-31
Nevada,0,2005-01-31
New Hampshire,0,2005-01-31
New Jersey,19,2005-01-31
New Mexico,0,2005-01-31
New York,12,2005-01-31
North Carolina,25,2005-01-31
North Dakota,0,2005-01-31
Ohio,6,2005-01-31
Oklahoma,28,2005-01-31
Oregon,14,2005-01-31
Pennsylvania,10,2005-01-31
Rhode Island,0,2005-01-31
South Carolina,0,2005-01-31
South Dakota,100,2005-01-31
Tennessee,15,2005-01-31
Texas,12,2005-01-31
Utah,0,2005-01-31
Vermont,63,2005-01-31
Virginia,11,2005-01-31
Washington,0,2005-01-31
West Virginia,0,2005-01-31
Wisconsin,11,2005-01-31
Wyoming,0,2005-01-31
Alabama,14,2005-02-28
Alaska,0,2005-02-28
Arizona,0,2005-02-28
Arkansas,0,2005-02-28
California,8,2005-02-28
Colorado,6,2005-02-28
Connecticut,0,2005-02-28
Delaware,0,2005-02-28
District of Columbia,6,2005-02-28
Florida,12,2005-02-28
Georgia,13,2005-02-28
Hawaii,0,2005-02-28
Idaho,100,2005-02-28
Illinois,10,2005-02-28
Indiana,9,2005-02-28
Iowa,0,2005-02-28
Kansas,0,2005-02-28
Kentucky,37,2005-02-28
Louisiana,28,2005-02-28
Maine,0,2005-02-28
Maryland,22,2005-02-28
Massachusetts,6,2005-02-28
Michigan,8,2005-02-28
Minnesota,6,2005-02-28
Mississippi,0,2005-02-28
Missouri,6,2005-02-28
Montana,0,2005-02-28
Nebraska,0,2005-02-28
Nevada,0,2005-02-28
New Hampshire,0,2005-02-28
New Jersey,17,2005-02-28
New Mexico,29,2005-02-28
New York,9,2005-02-28
North Carolina,5,2005-02-28
North Dakota,0,2005-02-28
Ohio,3,2005-02-28
Oklahoma,0,2005-02-28
Oregon,8,2005-02-28
Pennsylvania,0,2005-02-28
Rhode Island,0,2005-02-28
South Carolina,0,2005-02-28
South Dakota,0,2005-02-28
Tennessee,8,2005-02-28
Texas,7,2005-02-28
Utah,14,2005-02-28
Vermont,34,2005-02-28
Virginia,16,2005-02-28
Washington,4,2005-02-28
West Virginia,0,2005-02-28
Wisconsin,0,2005-02-28
Wyoming,0,2005-02-28
Alabama,40,2005-03-31
Alaska,0,2005-03-31
Arizona,17,2005-03-31
Arkansas,0,2005-03-31
California,16,2005-03-31
Colorado,51,2005-03-31
Connecticut,25,2005-03-31
Delaware,0,2005-03-31
District of Columbia,20,2005-03-31
Florida,20,2005-03-31
Georgia,38,2005-03-31
Hawaii,0,2005-03-31
Idaho,0,2005-03-31
Illinois,34,2005-03-31
Indiana,0,2005-03-31
Iowa,83,2005-03-31
Kansas,0,2005-03-31
Kentucky,0,2005-03-31
Louisiana,38,2005-03-31
Maine,72,2005-03-31
Maryland,32,2005-03-31
Massachusetts,54,2005-03-31
Michigan,12,2005-03-31
Minnesota,66,2005-03-31
Mississippi,100,2005-03-31
Missouri,32,2005-03-31
Montana,0,2005-03-31
Nebraska,0,2005-03-31
Nevada,55,2005-03-31
New Hampshire,0,2005-03-31
New Jersey,10,2005-03-31
New Mexico,0,2005-03-31
New York,39,2005-03-31
North Carolina,0,2005-03-31
