geoName,Real Estate,year
Alabama,72,2005-01-31
Alaska,59,2005-01-31
Arizona,60,2005-01-31
Arkansas,52,2005-01-31
California,60,2005-01-31
Colorado,64,2005-01-31
Connecticut,57,2005-01-31
Delaware,36,2005-01-31
District of Columbia,51,2005-01-31
Florida,67,2005-01-31
Georgia,60,2005-01-31
Hawaii,43,2005-01-31
Idaho,79,2005-01-31
Illinois,45,2005-01-31
Indiana,26,2005-01-31
Iowa,13,2005-01-31
Kansas,31,2005-01-31
Kentucky,39,2005-01-31
Louisiana,48,2005-01-31
Maine,32,2005-01-31
Maryland,48,2005-01-31
Massachusetts,55,2005-01-31
Michigan,43,2005-01-31
Minnesota,46,2005-01-31
Mississippi,49,2005-01-31
Missouri,52,2005-01-31
Montana,100,2005-01-31
Nebraska,46,2005-01-31
Nevada,86,2005-01-31
New Hampshire,53,2005-01-31
New Jersey,48,2005-01-31
New Mexico,31,2005-01-31
New York,66,2005-01-31
North Carolina,65,2005-01-31
North Dakota,68,2005-01-31
Ohio,40,2005-01-31
Oklahoma,42,2005-01-31
Oregon,62,2005-01-31
Pennsylvania,41,2005-01-31
Rhode Island,35,2005-01-31
South Carolina,47,2005-01-31
South Dakota,40,2005-01-31
Tennessee,34,2005-01-31
Texas,38,2005-01-31
Utah,71,2005-01-31
Vermont,64,2005-01-31
Virginia,66,2005-01-31
Washington,65,2005-01-31
West Virginia,15,2005-01-31
Wisconsin,24,2005-01-31
Wyoming,14,2005-01-31
Alabama,45,2005-02-28
Alaska,62,2005-02-28
Arizona,81,2005-02-28
Arkansas,45,2005-02-28
California,66,2005-02-28
Colorado,59,2005-02-28
Connecticut,70,2005-02-28
Delaware,84,2005-02-28
District of Columbia,72,2005-02-28
Florida,63,2005-02-28
Georgia,50,2005-02-28
Hawaii,68,2005-02-28
Idaho,56,2005-02-28
Illinois,51,2005-02-28
Indiana,27,2005-02-28
Iowa,14,2005-02-28
Kansas,53,2005-02-28
Kentucky,20,2005-02-28
Louisiana,69,2005-02-28
Maine,36,2005-02-28
Maryland,59,2005-02-28
Massachusetts,55,2005-02-28
Michigan,47,2005-02-28
Minnesota,50,2005-02-28
