geoName,Real Estate Investment,year
Alabama,0,2005-01-31
Alaska,0,2005-01-31
Arizona,0,2005-01-31
Arkansas,85,2005-01-31
California,19,2005-01-31
Colorado,18,2005-01-31
Connecticut,26,2005-01-31
Delaware,0,2005-01-31
District of Columbia,60,2005-01-31
Florida,0,2005-01-31
Georgia,10,2005-01-31
Hawaii,0,2005-01-31
Idaho,100,2005-01-31
Illinois,14,2005-01-31
Indiana,25,2005-01-31
Iowa,43,2005-01-31
Kansas,0,2005-01-31
Kentucky,54,2005-01-31
Louisiana,0,2005-01-31
Maine,0,2005-01-31
Maryland,17,2005-01-31
Massachusetts,0,2005-01-31
Michigan,12,2005-01-31
Minnesota,0,2005-01-31
Mississippi,0,2005-01-31
Missouri,16,2005-01-31
Montana,0,2005-01-31
Nebraska,0,2005-01-31
Nevada,0,2005-01-31
New Hampshire,0,2005-01-31
New Jersey,53,2005-01-31
New Mexico,0,2005-01-31
New York,20,2005-01-31
North Carolina,0,2005-01-31
North Dakota,0,2005-01-31
Ohio,0,2005-01-31
Oklahoma,46,2005-01-31
Oregon,0,2005-01-31
Pennsylvania,8,2005-01-31
Rhode Island,71,2005-01-31
South Carolina,0,2005-01-31
South Dakota,0,2005-01-31
Tennessee,0,2005-01-31
Texas,10,2005-01-31
Utah,0,2005-01-31
Vermont,0,2005-01-31
Virginia,9,2005-01-31
Washington,11,2005-01-31
West Virginia,0,2005-01-31
Wisconsin,18,2005-01-31
Wyoming,0,2005-01-31
Alabama,0,2005-02-28
Alaska,0,2005-02-28
Arizona,0,2005-02-28
Arkansas,0,2005-02-28
California,12,2005-02-28
Colorado,22,2005-02-28
Connecticut,0,2005-02-28
Delaware,0,2005-02-28
District of Columbia,45,2005-02-28
Florida,24,2005-02-28
Georgia,28,2005-02-28
Hawaii,0,2005-02-28
Idaho,0,2005-02-28
Illinois,4,2005-02-28
Indiana,15,2005-02-28
Iowa,0,2005-02-28
Kansas,0,2005-02-28
Kentucky,0,2005-02-28
Louisiana,0,2005-02-28
Maine,0,2005-02-28
Maryland,10,2005-02-28
Massachusetts,11,2005-02-28
Michigan,7,2005-02-28
Minnesota,20,2005-02-28
Mississippi,0,2005-02-28
Missouri,0,2005-02-28
Montana,0,2005-02-28
Nebraska,0,2005-02-28
Nevada,0,2005-02-28
New Hampshire,0,2005-02-28
New Jersey,6,2005-02-28
New Mexico,0,2005-02-28
New York,9,2005-02-28
North Carolina,0,2005-02-28
North Dakota,0,2005-02-28
Ohio,6,2005-02-28
Oklahoma,0,2005-02-28
Oregon,14,2005-02-28
Pennsylvania,14,2005-02-28
Rhode Island,0,2005-02-28
South Carolina,0,2005-02-28
South Dakota,100,2005-02-28
Tennessee,0,2005-02-28
Texas,3,2005-02-28
Utah,0,2005-02-28
Vermont,0,2005-02-28
Virginia,16,2005-02-28
Washington,6,2005-02-28
West Virginia,0,2005-02-28
Wisconsin,0,2005-02-28
Wyoming,0,2005-02-28
Alabama,49,2005-03-31
Alaska,0,2005-03-31
Arizona,0,2005-03-31
Arkansas,0,2005-03-31
California,37,2005-03-31
Colorado,0,2005-03-31
Connecticut,0,2005-03-31
Delaware,0,2005-03-31
District of Columbia,0,2005-03-31
Florida,24,2005-03-31
Georgia,59,2005-03-31
Hawaii,0,2005-03-31
Idaho,0,2005-03-31
Illinois,8,2005-03-31
Indiana,30,2005-03-31
Iowa,0,2005-03-31
Kansas,0,2005-03-31
Kentucky,0,2005-03-31
Louisiana,0,2005-03-31
Maine,0,2005-03-31
Maryland,0,2005-03-31
Massachusetts,11,2005-03-31
Michigan,0,2005-03-31
Minnesota,41,2005-03-31
Mississippi,0,2005-03-31
Missouri,40,2005-03-31
Montana,0,2005-03-31
Nebraska,0,2005-03-31
Nevada,0,2005-03-31
New Hampshire,0,2005-03-31
New Jersey,51,2005-03-31
New Mexico,100,2005-03-31
New York,29,2005-03-31
