geoName,Real Estate Listings,year
Alabama,0,2005-01-31
Alaska,0,2005-01-31
Arizona,17,2005-01-31
Arkansas,40,2005-01-31
California,24,2005-01-31
Colorado,17,2005-01-31
Connecticut,37,2005-01-31
Delaware,0,2005-01-31
District of Columbia,0,2005-01-31
Florida,20,2005-01-31
Georgia,14,2005-01-31
Hawaii,0,2005-01-31
Idaho,0,2005-01-31
Illinois,3,2005-01-31
Indiana,12,2005-01-31
Iowa,0,2005-01-31
Kansas,0,2005-01-31
Kentucky,0,2005-01-31
Louisiana,0,2005-01-31
Maine,36,2005-01-31
Maryland,0,2005-01-31
Massachusetts,26,2005-01-31
Michigan,6,2005-01-31
Minnesota,24,2005-01-31
Mississippi,0,2005-01-31
Missouri,0,2005-01-31
Montana,0,2005-01-31
Nebraska,0,2005-01-31
Nevada,0,2005-01-31
New Hampshire,32,2005-01-31
New Jersey,25,2005-01-31
New Mexico,40,2005-01-31
New York,14,2005-01-31
North Carolina,13,2005-01-31
North Dakota,0,2005-01-31
Ohio,10,2005-01-31
Oklahoma,22,2005-01-31
Oregon,11,2005-01-31
Pennsylvania,12,2005-01-31
Rhode Island,0,2005-01-31
South Carolina,0,2005-01-31
South Dakota,0,2005-01-31
Tennessee,23,2005-01-31
Texas,15,2005-01-31
Utah,0,2005-01-31
Vermont,100,2005-01-31
Virginia,13,2005-01-31
Washington,16,2005-01-31
West Virginia,0,2005-01-31
Wisconsin,8,2005-01-31
Wyoming,0,2005-01-31
Alabama,0,2005-02-28
Alaska,0,2005-02-28
Arizona,12,2005-02-28
Arkansas,59,2005-02-28
California,34,2005-02-28
Colorado,25,2005-02-28
Connecticut,17,2005-02-28
Delaware,100,2005-02-28
District of Columbia,52,2005-02-28
Florida,18,2005-02-28
Georgia,13,2005-02-28
Hawaii,0,2005-02-28
Idaho,0,2005-02-28
Illinois,38,2005-02-28
Indiana,0,2005-02-28
Iowa,0,2005-02-28
Kansas,0,2005-02-28
Kentucky,37,2005-02-28
Louisiana,56,2005-02-28
Maine,0,2005-02-28
Maryland,33,2005-02-28
Massachusetts,24,2005-02-28
Michigan,32,2005-02-28
Minnesota,23,2005-02-28
Mississippi,72,2005-02-28
Missouri,11,2005-02-28
Montana,0,2005-02-28
Nebraska,39,2005-02-28
Nevada,40,2005-02-28
New Hampshire,45,2005-02-28
New Jersey,28,2005-02-28
New Mexico,0,2005-02-28
New York,26,2005-02-28
North Carolina,19,2005-02-28
North Dakota,0,2005-02-28
Ohio,14,2005-02-28
Oklahoma,0,2005-02-28
Oregon,49,2005-02-28
Pennsylvania,22,2005-02-28
Rhode Island,0,2005-02-28
South Carolina,56,2005-02-28
South Dakota,0,2005-02-28
Tennessee,17,2005-02-28
Texas,10,2005-02-28
Utah,28,2005-02-28
Vermont,0,2005-02-28
Virginia,19,2005-02-28
Washington,21,2005-02-28
West Virginia,0,2005-02-28
Wisconsin,0,2005-02-28
Wyoming,0,2005-02-28
Alabama,25,2005-03-31
Alaska,73,2005-03-31
Arizona,11,2005-03-31
Arkansas,52,2005-03-31
California,23,2005-03-31
Colorado,22,2005-03-31
Connecticut,16,2005-03-31
Delaware,0,2005-03-31
District of Columbia,0,2005-03-31
Florida,4,2005-03-31
Georgia,18,2005-03-31
Hawaii,0,2005-03-31
Idaho,63,2005-03-31
Illinois,22,2005-03-31
Indiana,0,2005-03-31
Iowa,0,2005-03-31
Kansas,24,2005-03-31
Kentucky,0,2005-03-31
Louisiana,0,2005-03-31
Maine,0,2005-03-31
Maryland,31,2005-03-31
Massachusetts,0,2005-03-31
Michigan,7,2005-03-31
Minnesota,11,2005-03-31
Mississippi,0,2005-03-31
Missouri,10,2005-03-31
Montana,0,2005-03-31
Nebraska,71,2005-03-31
Nevada,35,2005-03-31
New Hampshire,0,2005-03-31
New Jersey,13,2005-03-31
New Mexico,0,2005-03-31
New York,10,2005-03-31
