geoName,Realtor,year
Alabama,9,2005-01-31
Alaska,55,2005-01-31
Arizona,37,2005-01-31
Arkansas,77,2005-01-31
California,24,2005-01-31
Colorado,25,2005-01-31
Connecticut,29,2005-01-31
Delaware,100,2005-01-31
District of Columbia,41,2005-01-31
Florida,37,2005-01-31
Georgia,18,2005-01-31
Hawaii,18,2005-01-31
Idaho,0,2005-01-31
Illinois,32,2005-01-31
Indiana,23,2005-01-31
Iowa,0,2005-01-31
Kansas,9,2005-01-31
Kentucky,37,2005-01-31
Louisiana,19,2005-01-31
Maine,17,2005-01-31
Maryland,15,2005-01-31
Massachusetts,23,2005-01-31
Michigan,35,2005-01-31
Minnesota,23,2005-01-31
Mississippi,23,2005-01-31
Missouri,8,2005-01-31
Montana,34,2005-01-31
Nebraska,27,2005-01-31
Nevada,28,2005-01-31
New Hampshire,30,2005-01-31
New Jersey,34,2005-01-31
New Mexico,0,2005-01-31
New York,19,2005-01-31
North Carolina,29,2005-01-31
North Dakota,0,2005-01-31
Ohio,33,2005-01-31
Oklahoma,21,2005-01-31
Oregon,16,2005-01-31
Pennsylvania,36,2005-01-31
Rhode Island,16,2005-01-31
South Carolina,9,2005-01-31
South Dakota,0,2005-01-31
Tennessee,11,2005-01-31
Texas,23,2005-01-31
Utah,0,2005-01-31
Vermont,24,2005-01-31
Virginia,32,2005-01-31
Washington,23,2005-01-31
West Virginia,0,2005-01-31
Wisconsin,20,2005-01-31
Wyoming,0,2005-01-31
Alabama,50,2005-02-28
Alaska,35,2005-02-28
Arizona,47,2005-02-28
Arkansas,52,2005-02-28
California,35,2005-02-28
Colorado,66,2005-02-28
Connecticut,83,2005-02-28
Delaware,0,2005-02-28
District of Columbia,46,2005-02-28
Florida,78,2005-02-28
Georgia,26,2005-02-28
Hawaii,22,2005-02-28
Idaho,29,2005-02-28
Illinois,48,2005-02-28
Indiana,23,2005-02-28
Iowa,26,2005-02-28
Kansas,12,2005-02-28
Kentucky,16,2005-02-28
Louisiana,37,2005-02-28
Maine,42,2005-02-28
Maryland,54,2005-02-28
Massachusetts,29,2005-02-28
Michigan,50,2005-02-28
Minnesota,50,2005-02-28
Mississippi,0,2005-02-28
Missouri,50,2005-02-28
Montana,0,2005-02-28
Nebraska,51,2005-02-28
Nevada,35,2005-02-28
New Hampshire,20,2005-02-28
New Jersey,34,2005-02-28
New Mexico,25,2005-02-28
