geoName,Rent,year
Alabama,7,2005-01-31
Alaska,21,2005-01-31
Arizona,64,2005-01-31
Arkansas,29,2005-01-31
California,57,2005-01-31
Colorado,56,2005-01-31
Connecticut,40,2005-01-31
Delaware,100,2005-01-31
District of Columbia,51,2005-01-31
Florida,72,2005-01-31
Georgia,85,2005-01-31
Hawaii,54,2005-01-31
Idaho,34,2005-01-31
Illinois,36,2005-01-31
Indiana,22,2005-01-31
Iowa,22,2005-01-31
Kansas,27,2005-01-31
Kentucky,37,2005-01-31
Louisiana,21,2005-01-31
Maine,39,2005-01-31
Maryland,31,2005-01-31
Massachusetts,39,2005-01-31
Michigan,62,2005-01-31
Minnesota,43,2005-01-31
Mississippi,17,2005-01-31
Missouri,40,2005-01-31
Montana,76,2005-01-31
Nebraska,20,2005-01-31
Nevada,42,2005-01-31
New Hampshire,34,2005-01-31
New Jersey,40,2005-01-31
New Mexico,29,2005-01-31
New York,44,2005-01-31
North Carolina,41,2005-01-31
North Dakota,96,2005-01-31
Ohio,35,2005-01-31
Oklahoma,31,2005-01-31
Oregon,58,2005-01-31
Pennsylvania,57,2005-01-31
Rhode Island,61,2005-01-31
South Carolina,48,2005-01-31
South Dakota,57,2005-01-31
Tennessee,58,2005-01-31
Texas,40,2005-01-31
Utah,44,2005-01-31
Vermont,0,2005-01-31
Virginia,58,2005-01-31
Washington,59,2005-01-31
West Virginia,21,2005-01-31
Wisconsin,15,2005-01-31
Wyoming,0,2005-01-31
Alabama,56,2005-02-28
Alaska,60,2005-02-28
Arizona,80,2005-02-28
Arkansas,59,2005-02-28
California,59,2005-02-28
Colorado,75,2005-02-28
Connecticut,64,2005-02-28
Delaware,100,2005-02-28
District of Columbia,29,2005-02-28
Florida,64,2005-02-28
Georgia,72,2005-02-28
Hawaii,37,2005-02-28
Idaho,33,2005-02-28
Illinois,54,2005-02-28
Indiana,22,2005-02-28
Iowa,7,2005-02-28
Kansas,74,2005-02-28
Kentucky,47,2005-02-28
Louisiana,84,2005-02-28
Maine,12,2005-02-28
Maryland,56,2005-02-28
Massachusetts,39,2005-02-28
Michigan,46,2005-02-28
Minnesota,76,2005-02-28
Mississippi,54,2005-02-28
Missouri,57,2005-02-28
Montana,25,2005-02-28
Nebraska,58,2005-02-28
Nevada,80,2005-02-28
New Hampshire,22,2005-02-28
New Jersey,59,2005-02-28
New Mexico,29,2005-02-28
New York,52,2005-02-28
North Carolina,78,2005-02-28
North Dakota,98,2005-02-28
Ohio,71,2005-02-28
Oklahoma,55,2005-02-28
Oregon,70,2005-02-28
Pennsylvania,56,2005-02-28
Rhode Island,57,2005-02-28
South Carolina,49,2005-02-28
South Dakota,29,2005-02-28
Tennessee,51,2005-02-28
Texas,72,2005-02-28
Utah,92,2005-02-28
Vermont,51,2005-02-28
Virginia,70,2005-02-28
Washington,64,2005-02-28
West Virginia,0,2005-02-28
Wisconsin,84,2005-02-28
Wyoming,36,2005-02-28
Alabama,54,2005-03-31
Alaska,47,2005-03-31
Arizona,70,2005-03-31
Arkansas,100,2005-03-31
California,51,2005-03-31
Colorado,33,2005-03-31
Connecticut,34,2005-03-31
Delaware,61,2005-03-31
District of Columbia,24,2005-03-31
Florida,67,2005-03-31
Georgia,46,2005-03-31
Hawaii,10,2005-03-31
Idaho,81,2005-03-31
Illinois,38,2005-03-31
Indiana,33,2005-03-31
Iowa,23,2005-03-31
Kansas,66,2005-03-31
Kentucky,30,2005-03-31
Louisiana,58,2005-03-31
Maine,20,2005-03-31
Maryland,38,2005-03-31
Massachusetts,28,2005-03-31
Michigan,29,2005-03-31
Minnesota,25,2005-03-31
Mississippi,41,2005-03-31
Missouri,38,2005-03-31
Montana,19,2005-03-31
Nebraska,54,2005-03-31
Nevada,91,2005-03-31
New Hampshire,0,2005-03-31
New Jersey,36,2005-03-31
New Mexico,55,2005-03-31
New York,40,2005-03-31
North Carolina,39,2005-03-31
North Dakota,25,2005-03-31
Ohio,38,2005-03-31
Oklahoma,36,2005-03-31
Oregon,24,2005-03-31
Pennsylvania,34,2005-03-31
Rhode Island,28,2005-03-31
South Carolina,28,2005-03-31
South Dakota,21,2005-03-31
Tennessee,39,2005-03-31
Texas,37,2005-03-31
Utah,45,2005-03-31
Vermont,42,2005-03-31
Virginia,45,2005-03-31
Washington,35,2005-03-31
West Virginia,33,2005-03-31
Wisconsin,52,2005-03-31
Wyoming,27,2005-03-31
Alabama,30,2005-04-30
Alaska,22,2005-04-30
Arizona,92,2005-04-30
Arkansas,62,2005-04-30
California,71,2005-04-30
Colorado,74,2005-04-30
Connecticut,78,2005-04-30
Delaware,77,2005-04-30
District of Columbia,65,2005-04-30
Florida,75,2005-04-30
Georgia,70,2005-04-30
Hawaii,62,2005-04-30
Idaho,70,2005-04-30
Illinois,45,2005-04-30
Indiana,33,2005-04-30
Iowa,56,2005-04-30
Kansas,35,2005-04-30
Kentucky,73,2005-04-30
Louisiana,35,2005-04-30
Maine,37,2005-04-30
Maryland,61,2005-04-30
Massachusetts,52,2005-04-30
Michigan,45,2005-04-30
Minnesota,55,2005-04-30
Mississippi,56,2005-04-30
Missouri,42,2005-04-30
Montana,27,2005-04-30
Nebraska,43,2005-04-30
Nevada,100,2005-04-30
New Hampshire,68,2005-04-30
New Jersey,68,2005-04-30
New Mexico,60,2005-04-30
New York,52,2005-04-30
North Carolina,65,2005-04-30
