region,sub_region,State,FIPS_State_code,year,month,total_number_hpa
North East,New England,Connecticut,9,2010,January,165
North East,New England,Maine,23,2010,January,107
North East,New England,Massachusetts,25,2010,January,463
North East,New England,New Hampshire,33,2010,January,202
North East,New England,Rhode Island,44,2010,January,56
North East,New England,Vermont,50,2010,January,51
North East,mid atlantic,New Jersey,34,2010,January,745
North East,mid atlantic,New York,36,2010,January,848
North East,mid atlantic,Pennsylvania,42,2010,January,1409
Midwest,East North Central,Illinois,17,2010,January,381
Midwest,East North Central,Indiana,18,2010,January,808
Midwest,East North Central,Michigan,26,2010,January,485
Midwest,East North Central,Ohio,39,2010,January,878
Midwest,East North Central,Wisconsin,55,2010,January,420
Midwest,West North Central,Iowa,19,2010,January,195
Midwest,West North Central,Kansas,20,2010,January,246
Midwest,West North Central,Minnesota,27,2010,January,220
Midwest,West North Central,Missouri,29,2010,January,417
Midwest,West North Central,Nebraska,31,2010,January,215
Midwest,West North Central,North Dakota,38,2010,January,101
Midwest,West North Central,South Dakota,46,2010,January,88
South,South Atlantic,Delaware,10,2010,January,202
South,South Atlantic,District of Columbia,11,2010,January,20
South,South Atlantic,Florida,12,2010,January,3818
South,South Atlantic,Georgia,13,2010,January,1207
South,South Atlantic,Maryland,24,2010,January,763
South,South Atlantic,North Carolina,37,2010,January,2513
South,South Atlantic,South Carolina,45,2010,January,1104
South,South Atlantic,Virginia,51,2010,January,1429
South,South Atlantic,West Virginia,54,2010,January,129
South,East South Central,Alabama,1,2010,January,881
South,East South Central,Kentucky,21,2010,January,422
South,East South Central,Mississippi,28,2010,January,366
South,East South Central,Tennessee,47,2010,January,1185
South,West South Central,Arkansas,5,2010,January,411
South,West South Central,Louisiana,22,2010,January,724
South,West South Central,Oklahoma,40,2010,January,545
South,West South Central,Texas,48,2010,January,6137
West,Mountain,Arizona,4,2010,January,1258
West,Mountain,Colorado,8,2010,January,673
West,Mountain,Idaho,16,2010,January,354
West,Mountain,Montana,30,2010,January,100
West,Mountain,Nevada,32,2010,January,573
West,Mountain,New Mexico,35,2010,January,277
West,Mountain,Utah,49,2010,January,498
West,Mountain,Wyoming,56,2010,January,68
West,Pacific,Alaska,2,2010,January,24
West,Pacific,California,6,2010,January,3022
West,Pacific,Hawaii,15,2010,January,135
West,Pacific,Oregon,41,2010,January,488
West,Pacific,Washington,53,2010,January,1653
North East,New England,Connecticut,9,2010,February,188
North East,New England,Maine,23,2010,February,218
North East,New England,Massachusetts,25,2010,February,534
North East,New England,New Hampshire,33,2010,February,369
North East,New England,Rhode Island,44,2010,February,46
North East,New England,Vermont,50,2010,February,370
North East,mid atlantic,New Jersey,34,2010,February,711
North East,mid atlantic,New York,36,2010,February,1078
North East,mid atlantic,Pennsylvania,42,2010,February,1332
Midwest,East North Central,Illinois,17,2010,February,727
Midwest,East North Central,Indiana,18,2010,February,698
Midwest,East North Central,Michigan,26,2010,February,469
Midwest,East North Central,Ohio,39,2010,February,856
Midwest,East North Central,Wisconsin,55,2010,February,506
Midwest,West North Central,Iowa,19,2010,February,350
Midwest,West North Central,Kansas,20,2010,February,238
Midwest,West North Central,Minnesota,27,2010,February,461
Midwest,West North Central,Missouri,29,2010,February,533
Midwest,West North Central,Nebraska,31,2010,February,359
Midwest,West North Central,North Dakota,38,2010,February,15
Midwest,West North Central,South Dakota,46,2010,February,117
South,South Atlantic,Delaware,10,2010,February,221
South,South Atlantic,District of Columbia,11,2010,February,5
South,South Atlantic,Florida,12,2010,February,3324
South,South Atlantic,Georgia,13,2010,February,1338
South,South Atlantic,Maryland,24,2010,February,622
South,South Atlantic,North Carolina,37,2010,February,2943
South,South Atlantic,South Carolina,45,2010,February,1363
South,South Atlantic,Virginia,51,2010,February,1291
South,South Atlantic,West Virginia,54,2010,February,118
South,East South Central,Alabama,1,2010,February,878
South,East South Central,Kentucky,21,2010,February,447
South,East South Central,Mississippi,28,2010,February,344
South,East South Central,Tennessee,47,2010,February,1729
South,West South Central,Arkansas,5,2010,February,414
South,West South Central,Louisiana,22,2010,February,829
South,West South Central,Oklahoma,40,2010,February,847
South,West South Central,Texas,48,2010,February,6265
West,Mountain,Arizona,4,2010,February,1121
West,Mountain,Colorado,8,2010,February,1016
West,Mountain,Idaho,16,2010,February,357
West,Mountain,Montana,30,2010,February,118
West,Mountain,Nevada,32,2010,February,632
West,Mountain,New Mexico,35,2010,February,349
West,Mountain,Utah,49,2010,February,714
West,Mountain,Wyoming,56,2010,February,387
West,Pacific,Alaska,2,2010,February,45
West,Pacific,California,6,2010,February,3469
West,Pacific,Hawaii,15,2010,February,761
West,Pacific,Oregon,41,2010,February,550
West,Pacific,Washington,53,2010,February,1385
North East,New England,Connecticut,9,2010,March,277
North East,New England,Maine,23,2010,March,197
North East,New England,Massachusetts,25,2010,March,532
North East,New England,New Hampshire,33,2010,March,170
North East,New England,Rhode Island,44,2010,March,70
North East,New England,Vermont,50,2010,March,61
North East,mid atlantic,New Jersey,34,2010,March,1087
North East,mid atlantic,New York,36,2010,March,1500
North East,mid atlantic,Pennsylvania,42,2010,March,1719
Midwest,East North Central,Illinois,17,2010,March,1027
Midwest,East North Central,Indiana,18,2010,March,1386
Midwest,East North Central,Michigan,26,2010,March,706
Midwest,East North Central,Ohio,39,2010,March,1588
Midwest,East North Central,Wisconsin,55,2010,March,890
Midwest,West North Central,Iowa,19,2010,March,820
Midwest,West North Central,Kansas,20,2010,March,465
Midwest,West North Central,Minnesota,27,2010,March,1038
Midwest,West North Central,Missouri,29,2010,March,982
Midwest,West North Central,Nebraska,31,2010,March,394
Midwest,West North Central,North Dakota,38,2010,March,177
Midwest,West North Central,South Dakota,46,2010,March,247
South,South Atlantic,Delaware,10,2010,March,348
South,South Atlantic,District of Columbia,11,2010,March,274
South,South Atlantic,Florida,12,2010,March,4358
South,South Atlantic,Georgia,13,2010,March,1790
South,South Atlantic,Maryland,24,2010,March,1600
South,South Atlantic,North Carolina,37,2010,March,3680
South,South Atlantic,South Carolina,45,2010,March,1947
South,South Atlantic,Virginia,51,2010,March,2473
South,South Atlantic,West Virginia,54,2010,March,173
South,East South Central,Alabama,1,2010,March,1343
South,East South Central,Kentucky,21,2010,March,794
South,East South Central,Mississippi,28,2010,March,470
South,East South Central,Tennessee,47,2010,March,1899
South,West South Central,Arkansas,5,2010,March,597
South,West South Central,Louisiana,22,2010,March,1192
