,0,year,mo,1
0,Connecticut,2016,August,357
1,Maine,2016,August,391
2,Massachusetts,2016,August,1080
3,New Hampshire,2016,August,314
4,Rhode Island,2016,August,112
5,Vermont,2016,August,232
7,New Jersey,2016,August,2539
8,New York,2016,August,3289
9,Pennsylvania,2016,August,1794
12,Illinois,2016,August,1824
13,Indiana,2016,August,1917
14,Michigan,2016,August,2325
15,Ohio,2016,August,2426
16,Wisconsin,2016,August,1862
18,Iowa,2016,August,2117
19,Kansas,2016,August,995
20,Minnesota,2016,August,2795
21,Missouri,2016,August,1680
22,Nebraska,2016,August,744
23,North Dakota,2016,August,457
24,South Dakota,2016,August,526
27,Delaware,2016,August,560
28,District of Columbia,2016,August,444
29,Florida,2016,August,10623
30,Georgia,2016,August,3846
31,Maryland,2016,August,1146
32,North Carolina,2016,August,5362
33,South Carolina,2016,August,3028
34,Virginia,2016,August,2971
35,West Virginia,2016,August,213
37,Alabama,2016,August,1208
38,Kentucky,2016,August,1287
39,Mississippi,2016,August,584
40,Tennessee,2016,August,3078
42,Arkansas,2016,August,1010
43,Louisiana,2016,August,1568
44,Oklahoma,2016,August,1613
45,Texas,2016,August,14614
48,Arizona,2016,August,2629
49,Colorado,2016,August,2936
50,Idaho,2016,August,1244
51,Montana,2016,August,384
52,Nevada,2016,August,1187
53,New Mexico,2016,August,414
54,Utah,2016,August,1996
55,Wyoming,2016,August,146
57,Alaska,2016,August,123
58,California,2016,August,9223
59,Hawaii,2016,August,239
60,Oregon,2016,August,1982
61,Washington,2016,August,2987
0,Connecticut,2016,September,631
1,Maine,2016,September,348
2,Massachusetts,2016,September,2006
3,New Hampshire,2016,September,334
4,Rhode Island,2016,September,91
5,Vermont,2016,September,165
7,New Jersey,2016,September,1972
8,New York,2016,September,4386
9,Pennsylvania,2016,September,2220
12,Illinois,2016,September,2223
13,Indiana,2016,September,1705
14,Michigan,2016,September,2492
15,Ohio,2016,September,2445
16,Wisconsin,2016,September,1758
18,Iowa,2016,September,1328
19,Kansas,2016,September,732
20,Minnesota,2016,September,2563
21,Missouri,2016,September,1581
22,Nebraska,2016,September,730
23,North Dakota,2016,September,480
24,South Dakota,2016,September,545
27,Delaware,2016,September,496
28,District of Columbia,2016,September,1098
29,Florida,2016,September,9987
30,Georgia,2016,September,3699
31,Maryland,2016,September,1088
32,North Carolina,2016,September,5124
33,South Carolina,2016,September,2759
34,Virginia,2016,September,2605
35,West Virginia,2016,September,235
37,Alabama,2016,September,1265
38,Kentucky,2016,September,966
39,Mississippi,2016,September,564
40,Tennessee,2016,September,2704
42,Arkansas,2016,September,598
43,Louisiana,2016,September,1980
44,Oklahoma,2016,September,837
45,Texas,2016,September,13805
48,Arizona,2016,September,3514
49,Colorado,2016,September,3568
50,Idaho,2016,September,837
51,Montana,2016,September,730
52,Nevada,2016,September,1164
53,New Mexico,2016,September,410
54,Utah,2016,September,1918
55,Wyoming,2016,September,162
57,Alaska,2016,September,168
58,California,2016,September,8355
59,Hawaii,2016,September,349
60,Oregon,2016,September,1520
61,Washington,2016,September,4483
0,Connecticut,2016,October,524
1,Maine,2016,October,354
2,Massachusetts,2016,October,1052
3,New Hampshire,2016,October,391
4,Rhode Island,2016,October,99
5,Vermont,2016,October,167
7,New Jersey,2016,October,1594
8,New York,2016,October,2642
9,Pennsylvania,2016,October,1989
12,Illinois,2016,October,3302
13,Indiana,2016,October,1815
14,Michigan,2016,October,2360
15,Ohio,2016,October,1811
16,Wisconsin,2016,October,2038
18,Iowa,2016,October,1182
19,Kansas,2016,October,611
20,Minnesota,2016,October,2401
21,Missouri,2016,October,1845
22,Nebraska,2016,October,819
23,North Dakota,2016,October,481
24,South Dakota,2016,October,454
27,Delaware,2016,October,500
28,District of Columbia,2016,October,679
29,Florida,2016,October,10156
30,Georgia,2016,October,4730
31,Maryland,2016,October,987
32,North Carolina,2016,October,4786
33,South Carolina,2016,October,2223
34,Virginia,2016,October,1709
35,West Virginia,2016,October,284
37,Alabama,2016,October,1080
38,Kentucky,2016,October,999
39,Mississippi,2016,October,554
40,Tennessee,2016,October,2923
42,Arkansas,2016,October,813
43,Louisiana,2016,October,1257
44,Oklahoma,2016,October,927
45,Texas,2016,October,12128
48,Arizona,2016,October,2174
49,Colorado,2016,October,4076
50,Idaho,2016,October,918
51,Montana,2016,October,426
52,Nevada,2016,October,1044
53,New Mexico,2016,October,314
54,Utah,2016,October,2764
55,Wyoming,2016,October,144
57,Alaska,2016,October,117
58,California,2016,October,8274
59,Hawaii,2016,October,178
60,Oregon,2016,October,1529
61,Washington,2016,October,4078
0,Connecticut,2016,November,245
1,Maine,2016,November,316
2,Massachusetts,2016,November,1110
3,New Hampshire,2016,November,381
4,Rhode Island,2016,November,96
5,Vermont,2016,November,126
7,New Jersey,2016,November,1847
8,New York,2016,November,2773
9,Pennsylvania,2016,November,1881
12,Illinois,2016,November,1327
13,Indiana,2016,November,1442
14,Michigan,2016,November,1814
15,Ohio,2016,November,1704
16,Wisconsin,2016,November,1197
18,Iowa,2016,November,1448
19,Kansas,2016,November,522
20,Minnesota,2016,November,2361
21,Missouri,2016,November,1786
22,Nebraska,2016,November,573
23,North Dakota,2016,November,291
24,South Dakota,2016,November,347
27,Delaware,2016,November,473
28,District of Columbia,2016,November,21
29,Florida,2016,November,8240
30,Georgia,2016,November,3540
31,Maryland,2016,November,1004
32,North Carolina,2016,November,4441
33,South Carolina,2016,November,2452
34,Virginia,2016,November,2210
35,West Virginia,2016,November,206
37,Alabama,2016,November,927
38,Kentucky,2016,November,1160
39,Mississippi,2016,November,619
40,Tennessee,2016,November,2230
42,Arkansas,2016,November,513
43,Louisiana,2016,November,1037
44,Oklahoma,2016,November,670
45,Texas,2016,November,12680
48,Arizona,2016,November,2958
49,Colorado,2016,November,3644
50,Idaho,2016,November,897
51,Montana,2016,November,227
52,Nevada,2016,November,932
53,New Mexico,2016,November,575
54,Utah,2016,November,2468
55,Wyoming,2016,November,129
57,Alaska,2016,November,99
58,California,2016,November,7830
59,Hawaii,2016,November,322
60,Oregon,2016,November,1514
61,Washington,2016,November,3649
0,Connecticut,2016,December,226
1,Maine,2016,December,314
2,Massachusetts,2016,December,935
3,New Hampshire,2016,December,387
4,Rhode Island,2016,December,109
5,Vermont,2016,December,122
7,New Jersey,2016,December,2536
8,New York,2016,December,3367
9,Pennsylvania,2016,December,1469
12,Illinois,2016,December,1222
13,Indiana,2016,December,1082
14,Michigan,2016,December,1171
15,Ohio,2016,December,1301
16,Wisconsin,2016,December,926
18,Iowa,2016,December,848
19,Kansas,2016,December,386
20,Minnesota,2016,December,2081
21,Missouri,2016,December,1475
22,Nebraska,2016,December,569
23,North Dakota,2016,December,150
24,South Dakota,2016,December,249
27,Delaware,2016,December,450
28,District of Columbia,2016,December,369
29,Florida,2016,December,9858
30,Georgia,2016,December,4269
31,Maryland,2016,December,991
32,North Carolina,2016,December,3792
33,South Carolina,2016,December,2223
34,Virginia,2016,December,2224
35,West Virginia,2016,December,151
37,Alabama,2016,December,951
38,Kentucky,2016,December,712
39,Mississippi,2016,December,549
40,Tennessee,2016,December,3304
42,Arkansas,2016,December,762
43,Louisiana,2016,December,1074
44,Oklahoma,2016,December,724
45,Texas,2016,December,11678
48,Arizona,2016,December,3401
49,Colorado,2016,December,2864
50,Idaho,2016,December,650
51,Montana,2016,December,233
52,Nevada,2016,December,1914
53,New Mexico,2016,December,335
54,Utah,2016,December,1411
55,Wyoming,2016,December,87
57,Alaska,2016,December,94
58,California,2016,December,10450
59,Hawaii,2016,December,197
60,Oregon,2016,December,1066
61,Washington,2016,December,3702
0,Connecticut,2017,January,317
1,Maine,2017,January,208
2,Massachusetts,2017,January,784
3,New Hampshire,2017,January,172
4,Rhode Island,2017,January,84
5,Vermont,2017,January,66
7,New Jersey,2017,January,2104
8,New York,2017,January,4548
9,Pennsylvania,2017,January,1353
12,Illinois,2017,January,751
13,Indiana,2017,January,1124
14,Michigan,2017,January,1208
15,Ohio,2017,January,2037
16,Wisconsin,2017,January,679
18,Iowa,2017,January,416
19,Kansas,2017,January,497
20,Minnesota,2017,January,1521
21,Missouri,2017,January,1070
22,Nebraska,2017,January,351
23,North Dakota,2017,January,65
24,South Dakota,2017,January,257
27,Delaware,2017,January,396
28,District of Columbia,2017,January,155
29,Florida,2017,January,10023
30,Georgia,2017,January,4423
31,Maryland,2017,January,1042
32,North Carolina,2017,January,4304
33,South Carolina,2017,January,2633
34,Virginia,2017,January,2282
35,West Virginia,2017,January,206
37,Alabama,2017,January,1083
38,Kentucky,2017,January,698
39,Mississippi,2017,January,920
40,Tennessee,2017,January,2322
42,Arkansas,2017,January,754
43,Louisiana,2017,January,1121
44,Oklahoma,2017,January,964
45,Texas,2017,January,15236
48,Arizona,2017,January,2484
49,Colorado,2017,January,3146
50,Idaho,2017,January,413
51,Montana,2017,January,134
52,Nevada,2017,January,1314
53,New Mexico,2017,January,280
54,Utah,2017,January,1380
55,Wyoming,2017,January,63
57,Alaska,2017,January,70
58,California,2017,January,5376
59,Hawaii,2017,January,252
60,Oregon,2017,January,1464
61,Washington,2017,January,2777
0,Connecticut,2017,February,175
1,Maine,2017,February,241
2,Massachusetts,2017,February,676
3,New Hampshire,2017,February,236
4,Rhode Island,2017,February,63
5,Vermont,2017,February,56
7,New Jersey,2017,February,1796
8,New York,2017,February,1686
9,Pennsylvania,2017,February,1425
12,Illinois,2017,February,1830
13,Indiana,2017,February,1463
14,Michigan,2017,February,1733
15,Ohio,2017,February,1384
16,Wisconsin,2017,February,1031
18,Iowa,2017,February,778
19,Kansas,2017,February,796
20,Minnesota,2017,February,1433
21,Missouri,2017,February,1100
22,Nebraska,2017,February,719
23,North Dakota,2017,February,171
24,South Dakota,2017,February,299
27,Delaware,2017,February,443
28,District of Columbia,2017,February,245
29,Florida,2017,February,8368
30,Georgia,2017,February,3968
31,Maryland,2017,February,1034
32,North Carolina,2017,February,4898
33,South Carolina,2017,February,2682
34,Virginia,2017,February,1890
35,West Virginia,2017,February,167
37,Alabama,2017,February,1113
38,Kentucky,2017,February,839
39,Mississippi,2017,February,1036
40,Tennessee,2017,February,2911
42,Arkansas,2017,February,822
43,Louisiana,2017,February,1152
44,Oklahoma,2017,February,954
45,Texas,2017,February,13247
48,Arizona,2017,February,2304
49,Colorado,2017,February,2948
50,Idaho,2017,February,837
51,Montana,2017,February,211
52,Nevada,2017,February,1092
53,New Mexico,2017,February,335
54,Utah,2017,February,1396
55,Wyoming,2017,February,111
57,Alaska,2017,February,93
58,California,2017,February,6298
59,Hawaii,2017,February,200
60,Oregon,2017,February,1114
61,Washington,2017,February,2973
0,Connecticut,2017,March,398
1,Maine,2017,March,315
2,Massachusetts,2017,March,2009
3,New Hampshire,2017,March,239
4,Rhode Island,2017,March,105
5,Vermont,2017,March,240
7,New Jersey,2017,March,1685
8,New York,2017,March,3310
9,Pennsylvania,2017,March,2519
12,Illinois,2017,March,1667
13,Indiana,2017,March,1478
14,Michigan,2017,March,2167
15,Ohio,2017,March,1757
16,Wisconsin,2017,March,1508
18,Iowa,2017,March,1378
19,Kansas,2017,March,612
20,Minnesota,2017,March,2441
21,Missouri,2017,March,1404
22,Nebraska,2017,March,837
23,North Dakota,2017,March,138
24,South Dakota,2017,March,466
27,Delaware,2017,March,626
28,District of Columbia,2017,March,277
29,Florida,2017,March,9590
30,Georgia,2017,March,5152
