Fips,Area,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
1,Alabama,4452173,4467634,4480089,4503491,4530729,4569805,4628981,4672840,4718206,4757938,4785514.0,4799642.0,4816632.0,4831586.0,4843737.0,4854803.0,4866824.0,4877989.0,4891628.0,4907965.0
2,Alaska,627963,633714,642337,648414,659286,666946,675302,680300,687455,698895,713982.0,722349.0,730810.0,737626.0,737075.0,738430.0,742575.0,740983.0,736624.0,733603.0
4,Arizona,5160586,5273477,5396255,5510364,5652404,5839077,6029141,6167681,6280362,6343154,6407342.0,6473416.0,6556344.0,6634690.0,6732873.0,6832810.0,6944767.0,7048088.0,7164228.0,7291843.0
5,Arkansas,2678588,2691571,2705927,2724816,2749686,2781097,2821761,2848650,2874554,2896843,2921998.0,2941038.0,2952876.0,2960459.0,2968759.0,2979732.0,2991815.0,3003855.0,3012161.0,3020985.0
6,California,33987977,34479458,34871843,35253159,35574576,35827943,36021202,36250311,36604337,36961229,37319550.0,37636311.0,37944551.0,38253768.0,38586706.0,38904296.0,39149186.0,39337785.0,39437463.0,39437610.0
8,Colorado,4326921,4425687,4490406,4528732,4575013,4631888,4720423,4803868,4889730,4972195,5047539.0,5121900.0,5193660.0,5270774.0,5352637.0,5454328.0,5543844.0,5617421.0,5697155.0,5758486.0
9,Connecticut,3411777,3432835,3458749,3484336,3496094,3506956,3517460,3527270,3545579,3561807,3579173.0,3588632.0,3595211.0,3595792.0,3595697.0,3588561.0,3579830.0,3575324.0,3574561.0,3566022.0
10,Delaware,786373,795699,806169,818003,830803,845150,859268,871749,883874,891730,899647.0,907590.0,915518.0,924062.0,933131.0,942065.0,949989.0,957942.0,966985.0,976668.0
11,District of Columbia,572046,574504,573158,568502,567754,567136,570681,574404,580236,592228,605282.0,620290.0,635737.0,651559.0,663603.0,677014.0,687576.0,697079.0,704147.0,708253.0
12,Florida,16047515,16356966,16689370,17004085,17415318,17842038,18166990,18367842,18527305,18652644,18846143.0,19055607.0,19302016.0,19551678.0,19853880.0,20219111.0,20627237.0,20977089.0,21254926.0,21492056.0
13,Georgia,8227303,8377038,8508256,8622793,8769252,8925922,9155813,9349988,9504843,9620846,9712209.0,9803630.0,9903580.0,9975592.0,10071204.0,10183353.0,10308442.0,10417031.0,10519389.0,10628020.0
15,Hawaii,1213519,1225948,1239613,1251154,1273569,1292729,1309731,1315675,1332213,1346717,1364004.0,1379562.0,1395199.0,1408822.0,1415335.0,1422999.0,1428885.0,1425763.0,1423102.0,1415615.0
16,Idaho,1299430,1319962,1340372,1363380,1391802,1428241,1468669,1505105,1534320,1554439,1570819.0,1584272.0,1595910.0,1612053.0,1632248.0,1652495.0,1684036.0,1719745.0,1752074.0,1789060.0
17,Illinois,12434161,12488445,12525556,12556006,12589773,12609903,12643955,12695866,12747038,12796778,12840545.0,12867783.0,12883029.0,12895778.0,12885092.0,12859585.0,12821709.0,12779893.0,12724685.0,12667017.0
18,Indiana,6091866,6127760,6155967,6196638,6233007,6278616,6332669,6379599,6424806,6459325,6490555.0,6517250.0,6538989.0,6570575.0,6596019.0,6611442.0,6637898.0,6662068.0,6698481.0,6731010.0
19,Iowa,2929067,2931997,2934234,2941999,2953635,2964454,2982644,2999212,3016734,3032870,3050819.0,3066772.0,3076844.0,3093935.0,3110643.0,3122541.0,3133210.0,3143734.0,3149900.0,3159596.0
20,Kansas,2693681,2702162,2713535,2723004,2734373,2745299,2762931,2783785,2808076,2832704,2858266.0,2869677.0,2886024.0,2894306.0,2901861.0,2910717.0,2912977.0,2910892.0,2912748.0,2912635.0
21,Kentucky,4049021,4068132,4089875,4117170,4146101,4182742,4219239,4256672,4289878,4317074,4348464.0,4370817.0,4387865.0,4406906.0,4416992.0,4429126.0,4440306.0,4455590.0,4464273.0,4472345.0
22,Louisiana,4471885,4477875,4497267,4521042,4552238,4576628,4302665,4375581,4435586,4491648,4544635.0,4576244.0,4602067.0,4626040.0,4645938.0,4666998.0,4681346.0,4673673.0,4664450.0,4658285.0
23,Maine,1277072,1285692,1295960,1306513,1313688,1318787,1323619,1327040,1330509,1329590,1327651.0,1328473.0,1328094.0,1328543.0,1331217.0,1329098.0,1332348.0,1335743.0,1340123.0,1345770.0
24,Maryland,5311034,5374691,5440389,5496269,5546935,5592379,5627367,5653408,5684965,5730388,5788784.0,5840241.0,5888375.0,5925197.0,5960064.0,5988528.0,6007014.0,6028186.0,6042153.0,6054954.0
25,Massachusetts,6361104,6397634,6417206,6422565,6412281,6403290,6410084,6431559,6468967,6517613,6566440.0,6614218.0,6664269.0,6715158.0,6764864.0,6797484.0,6827280.0,6863560.0,6885720.0,6894883.0
26,Michigan,9952450,9991120,10015710,10041152,10055315,10051137,10036081,10001284,9946889,9901591,9877597.0,9883053.0,9898289.0,9914802.0,9932033.0,9934483.0,9954117.0,9976752.0,9987286.0,9984795.0
27,Minnesota,4933692,4982796,5018935,5053572,5087713,5119598,5163555,5207203,5247018,5281203,5310934.0,5346620.0,5377500.0,5414722.0,5452665.0,5484002.0,5525360.0,5569283.0,5608762.0,5640053.0
28,Mississippi,2848353,2852994,2858681,2868312,2889010,2905943,2904978,2928350,2947806,2958774,2970615.0,2979147.0,2984599.0,2989839.0,2991892.0,2990231.0,2990595.0,2990674.0,2982879.0,2978227.0
29,Missouri,5607285,5641142,5674825,5709403,5747741,5790300,5842704,5887612,5923916,5961088,5996089.0,6011182.0,6026027.0,6042989.0,6059130.0,6075411.0,6091384.0,6111382.0,6125986.0,6140475.0
30,Montana,903773,906961,911667,919630,930009,940102,952692,964706,976415,983982,990730.0,997518.0,1004168.0,1014158.0,1022657.0,1031495.0,1042137.0,1053862.0,1061818.0,1070123.0
31,Nebraska,1713820,1719836,1728292,1738643,1749370,1761497,1772693,1783440,1796378,1812683,1829591.0,1840914.0,1853691.0,1865813.0,1879955.0,1892059.0,1906483.0,1916998.0,1925512.0,1932571.0
32,Nevada,2018741,2098399,2173791,2248850,2346222,2432143,2522658,2601072,2653630,2684665,2702483.0,2713114.0,2744670.0,2776956.0,2818935.0,2868531.0,2919555.0,2972097.0,3030725.0,3090771.0
33,New Hampshire,1239882,1255517,1269089,1279840,1290121,1298492,1308389,1312540,1315906,1316102,1316807.0,1320444.0,1324677.0,1327272.0,1334257.0,1337480.0,1343694.0,1350395.0,1355064.0,1360783.0
34,New Jersey,8430621,8492671,8552643,8601402,8634561,8651974,8661679,8677885,8711090,8755602,8799451.0,8828552.0,8845671.0,8857821.0,8867277.0,8870312.0,8873584.0,8888147.0,8891730.0,8891258.0
35,New Mexico,1821204,1831690,1855309,1877574,1903808,1932274,1962137,1990070,2010662,2036802,2064614.0,2080707.0,2087715.0,2092833.0,2090236.0,2090071.0,2092555.0,2092844.0,2093754.0,2099634.0
36,New York,19001780,19082838,19137800,19175939,19171567,19132610,19104631,19132335,19212436,19307066,19399956.0,19499921.0,19574362.0,19626488.0,19653431.0,19657321.0,19636391.0,19593849.0,19544098.0,19463131.0
