Fips,Year,Population,Interest Rate,Month,Unemployment Rate,HPA
1,2010,4785514.0,0.5,1,9.8,881
2,2010,713982.0,0.5,1,9.8,24
4,2010,6407342.0,0.5,1,9.8,1258
5,2010,2921998.0,0.5,1,9.8,411
6,2010,37319550.0,0.5,1,9.8,3022
8,2010,5047539.0,0.5,1,9.8,673
9,2010,3579173.0,0.5,1,9.8,165
10,2010,899647.0,0.5,1,9.8,202
11,2010,605282.0,0.5,1,9.8,20
12,2010,18846143.0,0.5,1,9.8,3818
13,2010,9712209.0,0.5,1,9.8,1207
15,2010,1364004.0,0.5,1,9.8,135
16,2010,1570819.0,0.5,1,9.8,354
17,2010,12840545.0,0.5,1,9.8,381
18,2010,6490555.0,0.5,1,9.8,808
19,2010,3050819.0,0.5,1,9.8,195
20,2010,2858266.0,0.5,1,9.8,246
21,2010,4348464.0,0.5,1,9.8,422
22,2010,4544635.0,0.5,1,9.8,724
23,2010,1327651.0,0.5,1,9.8,107
24,2010,5788784.0,0.5,1,9.8,763
25,2010,6566440.0,0.5,1,9.8,463
26,2010,9877597.0,0.5,1,9.8,485
27,2010,5310934.0,0.5,1,9.8,220
28,2010,2970615.0,0.5,1,9.8,366
29,2010,5996089.0,0.5,1,9.8,417
30,2010,990730.0,0.5,1,9.8,100
31,2010,1829591.0,0.5,1,9.8,215
32,2010,2702483.0,0.5,1,9.8,573
33,2010,1316807.0,0.5,1,9.8,202
34,2010,8799451.0,0.5,1,9.8,745
35,2010,2064614.0,0.5,1,9.8,277
36,2010,19399956.0,0.5,1,9.8,848
37,2010,9574586.0,0.5,1,9.8,2513
38,2010,674752.0,0.5,1,9.8,101
39,2010,11539449.0,0.5,1,9.8,878
40,2010,3760014.0,0.5,1,9.8,545
41,2010,3837614.0,0.5,1,9.8,488
42,2010,12711406.0,0.5,1,9.8,1409
44,2010,1053994.0,0.5,1,9.8,56
45,2010,4635846.0,0.5,1,9.8,1104
46,2010,816193.0,0.5,1,9.8,88
47,2010,6355518.0,0.5,1,9.8,1185
48,2010,25241897.0,0.5,1,9.8,6137
49,2010,2775413.0,0.5,1,9.8,498
50,2010,625886.0,0.5,1,9.8,51
51,2010,8024004.0,0.5,1,9.8,1429
53,2010,6743009.0,0.5,1,9.8,1653
54,2010,1854265.0,0.5,1,9.8,129
55,2010,5690538.0,0.5,1,9.8,420
56,2010,564531.0,0.5,1,9.8,68
1,2010,4785514.0,0.75,2,9.8,878
2,2010,713982.0,0.75,2,9.8,45
4,2010,6407342.0,0.75,2,9.8,1121
5,2010,2921998.0,0.75,2,9.8,414
6,2010,37319550.0,0.75,2,9.8,3469
8,2010,5047539.0,0.75,2,9.8,1016
9,2010,3579173.0,0.75,2,9.8,188
10,2010,899647.0,0.75,2,9.8,221
11,2010,605282.0,0.75,2,9.8,5
12,2010,18846143.0,0.75,2,9.8,3324
13,2010,9712209.0,0.75,2,9.8,1338
15,2010,1364004.0,0.75,2,9.8,761
16,2010,1570819.0,0.75,2,9.8,357
17,2010,12840545.0,0.75,2,9.8,727
18,2010,6490555.0,0.75,2,9.8,698
19,2010,3050819.0,0.75,2,9.8,350
20,2010,2858266.0,0.75,2,9.8,238
21,2010,4348464.0,0.75,2,9.8,447
22,2010,4544635.0,0.75,2,9.8,829
23,2010,1327651.0,0.75,2,9.8,218
24,2010,5788784.0,0.75,2,9.8,622
25,2010,6566440.0,0.75,2,9.8,534
26,2010,9877597.0,0.75,2,9.8,469
27,2010,5310934.0,0.75,2,9.8,461
28,2010,2970615.0,0.75,2,9.8,344
29,2010,5996089.0,0.75,2,9.8,533
30,2010,990730.0,0.75,2,9.8,118
31,2010,1829591.0,0.75,2,9.8,359
32,2010,2702483.0,0.75,2,9.8,632
33,2010,1316807.0,0.75,2,9.8,369
34,2010,8799451.0,0.75,2,9.8,711
35,2010,2064614.0,0.75,2,9.8,349
36,2010,19399956.0,0.75,2,9.8,1078
37,2010,9574586.0,0.75,2,9.8,2943
38,2010,674752.0,0.75,2,9.8,15
39,2010,11539449.0,0.75,2,9.8,856
40,2010,3760014.0,0.75,2,9.8,847
41,2010,3837614.0,0.75,2,9.8,550
42,2010,12711406.0,0.75,2,9.8,1332
44,2010,1053994.0,0.75,2,9.8,46
45,2010,4635846.0,0.75,2,9.8,1363
46,2010,816193.0,0.75,2,9.8,117
47,2010,6355518.0,0.75,2,9.8,1729
48,2010,25241897.0,0.75,2,9.8,6265
49,2010,2775413.0,0.75,2,9.8,714
50,2010,625886.0,0.75,2,9.8,370
51,2010,8024004.0,0.75,2,9.8,1291
53,2010,6743009.0,0.75,2,9.8,1385
54,2010,1854265.0,0.75,2,9.8,118
55,2010,5690538.0,0.75,2,9.8,506
56,2010,564531.0,0.75,2,9.8,387
1,2010,4785514.0,0.75,3,9.9,1343
2,2010,713982.0,0.75,3,9.9,46
4,2010,6407342.0,0.75,3,9.9,1678
5,2010,2921998.0,0.75,3,9.9,597
6,2010,37319550.0,0.75,3,9.9,3661
8,2010,5047539.0,0.75,3,9.9,1463
9,2010,3579173.0,0.75,3,9.9,277
10,2010,899647.0,0.75,3,9.9,348
11,2010,605282.0,0.75,3,9.9,274
12,2010,18846143.0,0.75,3,9.9,4358
13,2010,9712209.0,0.75,3,9.9,1790
15,2010,1364004.0,0.75,3,9.9,456
16,2010,1570819.0,0.75,3,9.9,590
17,2010,12840545.0,0.75,3,9.9,1027
18,2010,6490555.0,0.75,3,9.9,1386
19,2010,3050819.0,0.75,3,9.9,820
20,2010,2858266.0,0.75,3,9.9,465
21,2010,4348464.0,0.75,3,9.9,794
22,2010,4544635.0,0.75,3,9.9,1192
23,2010,1327651.0,0.75,3,9.9,197
24,2010,5788784.0,0.75,3,9.9,1600
25,2010,6566440.0,0.75,3,9.9,532
26,2010,9877597.0,0.75,3,9.9,706
27,2010,5310934.0,0.75,3,9.9,1038
28,2010,2970615.0,0.75,3,9.9,470
29,2010,5996089.0,0.75,3,9.9,982
30,2010,990730.0,0.75,3,9.9,197
31,2010,1829591.0,0.75,3,9.9,394
32,2010,2702483.0,0.75,3,9.9,864
33,2010,1316807.0,0.75,3,9.9,170
34,2010,8799451.0,0.75,3,9.9,1087
35,2010,2064614.0,0.75,3,9.9,518
36,2010,19399956.0,0.75,3,9.9,1500
37,2010,9574586.0,0.75,3,9.9,3680
38,2010,674752.0,0.75,3,9.9,177
39,2010,11539449.0,0.75,3,9.9,1588
40,2010,3760014.0,0.75,3,9.9,931
41,2010,3837614.0,0.75,3,9.9,693
42,2010,12711406.0,0.75,3,9.9,1719
44,2010,1053994.0,0.75,3,9.9,70
45,2010,4635846.0,0.75,3,9.9,1947
46,2010,816193.0,0.75,3,9.9,247
47,2010,6355518.0,0.75,3,9.9,1899
48,2010,25241897.0,0.75,3,9.9,9741
49,2010,2775413.0,0.75,3,9.9,1005
50,2010,625886.0,0.75,3,9.9,61
51,2010,8024004.0,0.75,3,9.9,2473
53,2010,6743009.0,0.75,3,9.9,1778
54,2010,1854265.0,0.75,3,9.9,173
55,2010,5690538.0,0.75,3,9.9,890
56,2010,564531.0,0.75,3,9.9,176
1,2010,4785514.0,0.75,4,9.9,1142
2,2010,713982.0,0.75,4,9.9,100
4,2010,6407342.0,0.75,4,9.9,1142
5,2010,2921998.0,0.75,4,9.9,771
6,2010,37319550.0,0.75,4,9.9,3210
8,2010,5047539.0,0.75,4,9.9,895
9,2010,3579173.0,0.75,4,9.9,346
10,2010,899647.0,0.75,4,9.9,315
11,2010,605282.0,0.75,4,9.9,23
12,2010,18846143.0,0.75,4,9.9,3743
13,2010,9712209.0,0.75,4,9.9,1778
15,2010,1364004.0,0.75,4,9.9,195
16,2010,1570819.0,0.75,4,9.9,542
17,2010,12840545.0,0.75,4,9.9,1097
18,2010,6490555.0,0.75,4,9.9,1359
19,2010,3050819.0,0.75,4,9.9,872
20,2010,2858266.0,0.75,4,9.9,410
21,2010,4348464.0,0.75,4,9.9,683
22,2010,4544635.0,0.75,4,9.9,1178
23,2010,1327651.0,0.75,4,9.9,306
24,2010,5788784.0,0.75,4,9.9,904
25,2010,6566440.0,0.75,4,9.9,714
26,2010,9877597.0,0.75,4,9.9,803
27,2010,5310934.0,0.75,4,9.9,972
28,2010,2970615.0,0.75,4,9.9,552
29,2010,5996089.0,0.75,4,9.9,808
30,2010,990730.0,0.75,4,9.9,241
31,2010,1829591.0,0.75,4,9.9,604
32,2010,2702483.0,0.75,4,9.9,698
33,2010,1316807.0,0.75,4,9.9,226
34,2010,8799451.0,0.75,4,9.9,1104
35,2010,2064614.0,0.75,4,9.9,436
36,2010,19399956.0,0.75,4,9.9,1666
37,2010,9574586.0,0.75,4,9.9,3284
38,2010,674752.0,0.75,4,9.9,421
39,2010,11539449.0,0.75,4,9.9,1618
40,2010,3760014.0,0.75,4,9.9,838
41,2010,3837614.0,0.75,4,9.9,728
42,2010,12711406.0,0.75,4,9.9,1653
44,2010,1053994.0,0.75,4,9.9,69
45,2010,4635846.0,0.75,4,9.9,1430
46,2010,816193.0,0.75,4,9.9,585
47,2010,6355518.0,0.75,4,9.9,1323
48,2010,25241897.0,0.75,4,9.9,8056
49,2010,2775413.0,0.75,4,9.9,940
50,2010,625886.0,0.75,4,9.9,111
51,2010,8024004.0,0.75,4,9.9,2081
53,2010,6743009.0,0.75,4,9.9,1554
54,2010,1854265.0,0.75,4,9.9,216
55,2010,5690538.0,0.75,4,9.9,1446
56,2010,564531.0,0.75,4,9.9,142
1,2010,4785514.0,0.75,5,9.6,1057
2,2010,713982.0,0.75,5,9.6,157
4,2010,6407342.0,0.75,5,9.6,975
5,2010,2921998.0,0.75,5,9.6,597
6,2010,37319550.0,0.75,5,9.6,3147
8,2010,5047539.0,0.75,5,9.6,811
9,2010,3579173.0,0.75,5,9.6,256
10,2010,899647.0,0.75,5,9.6,233
11,2010,605282.0,0.75,5,9.6,8
12,2010,18846143.0,0.75,5,9.6,2964
13,2010,9712209.0,0.75,5,9.6,1202
15,2010,1364004.0,0.75,5,9.6,456
16,2010,1570819.0,0.75,5,9.6,418
17,2010,12840545.0,0.75,5,9.6,1388
18,2010,6490555.0,0.75,5,9.6,1115
19,2010,3050819.0,0.75,5,9.6,681
20,2010,2858266.0,0.75,5,9.6,393
21,2010,4348464.0,0.75,5,9.6,531
22,2010,4544635.0,0.75,5,9.6,922
23,2010,1327651.0,0.75,5,9.6,392
24,2010,5788784.0,0.75,5,9.6,1493
25,2010,6566440.0,0.75,5,9.6,526
26,2010,9877597.0,0.75,5,9.6,760
27,2010,5310934.0,0.75,5,9.6,1263
28,2010,2970615.0,0.75,5,9.6,474
29,2010,5996089.0,0.75,5,9.6,663
30,2010,990730.0,0.75,5,9.6,212
31,2010,1829591.0,0.75,5,9.6,412
32,2010,2702483.0,0.75,5,9.6,501
33,2010,1316807.0,0.75,5,9.6,226
34,2010,8799451.0,0.75,5,9.6,898
35,2010,2064614.0,0.75,5,9.6,479
36,2010,19399956.0,0.75,5,9.6,1617
37,2010,9574586.0,0.75,5,9.6,3028
38,2010,674752.0,0.75,5,9.6,314
39,2010,11539449.0,0.75,5,9.6,1067
40,2010,3760014.0,0.75,5,9.6,765
41,2010,3837614.0,0.75,5,9.6,605
42,2010,12711406.0,0.75,5,9.6,1779
44,2010,1053994.0,0.75,5,9.6,70
45,2010,4635846.0,0.75,5,9.6,1250
46,2010,816193.0,0.75,5,9.6,300
47,2010,6355518.0,0.75,5,9.6,1603
48,2010,25241897.0,0.75,5,9.6,7631
49,2010,2775413.0,0.75,5,9.6,862
50,2010,625886.0,0.75,5,9.6,137
51,2010,8024004.0,0.75,5,9.6,1647
53,2010,6743009.0,0.75,5,9.6,1383
54,2010,1854265.0,0.75,5,9.6,104
55,2010,5690538.0,0.75,5,9.6,1091
56,2010,564531.0,0.75,5,9.6,160
1,2010,4785514.0,0.75,6,9.4,759
2,2010,713982.0,0.75,6,9.4,109
4,2010,6407342.0,0.75,6,9.4,1095
5,2010,2921998.0,0.75,6,9.4,1152
6,2010,37319550.0,0.75,6,9.4,4467
8,2010,5047539.0,0.75,6,9.4,944
9,2010,3579173.0,0.75,6,9.4,247
10,2010,899647.0,0.75,6,9.4,294
11,2010,605282.0,0.75,6,9.4,0
12,2010,18846143.0,0.75,6,9.4,3289
13,2010,9712209.0,0.75,6,9.4,1554
15,2010,1364004.0,0.75,6,9.4,165
16,2010,1570819.0,0.75,6,9.4,553
17,2010,12840545.0,0.75,6,9.4,1131
18,2010,6490555.0,0.75,6,9.4,1133
19,2010,3050819.0,0.75,6,9.4,795
20,2010,2858266.0,0.75,6,9.4,645
21,2010,4348464.0,0.75,6,9.4,593
22,2010,4544635.0,0.75,6,9.4,894
23,2010,1327651.0,0.75,6,9.4,342
24,2010,5788784.0,0.75,6,9.4,1074
25,2010,6566440.0,0.75,6,9.4,1351
26,2010,9877597.0,0.75,6,9.4,951
27,2010,5310934.0,0.75,6,9.4,778
28,2010,2970615.0,0.75,6,9.4,445
29,2010,5996089.0,0.75,6,9.4,727
30,2010,990730.0,0.75,6,9.4,196
31,2010,1829591.0,0.75,6,9.4,493
32,2010,2702483.0,0.75,6,9.4,751
33,2010,1316807.0,0.75,6,9.4,350
34,2010,8799451.0,0.75,6,9.4,1289
35,2010,2064614.0,0.75,6,9.4,442
36,2010,19399956.0,0.75,6,9.4,3482
37,2010,9574586.0,0.75,6,9.4,3323
38,2010,674752.0,0.75,6,9.4,300
39,2010,11539449.0,0.75,6,9.4,1175
40,2010,3760014.0,0.75,6,9.4,719
41,2010,3837614.0,0.75,6,9.4,883
42,2010,12711406.0,0.75,6,9.4,1981
44,2010,1053994.0,0.75,6,9.4,109
45,2010,4635846.0,0.75,6,9.4,1279
46,2010,816193.0,0.75,6,9.4,315
47,2010,6355518.0,0.75,6,9.4,1617
48,2010,25241897.0,0.75,6,9.4,8184
49,2010,2775413.0,0.75,6,9.4,644
50,2010,625886.0,0.75,6,9.4,90
51,2010,8024004.0,0.75,6,9.4,1967
53,2010,6743009.0,0.75,6,9.4,2145
54,2010,1854265.0,0.75,6,9.4,260
55,2010,5690538.0,0.75,6,9.4,1172
56,2010,564531.0,0.75,6,9.4,209
1,2010,4785514.0,0.75,7,9.4,731
2,2010,713982.0,0.75,7,9.4,91
4,2010,6407342.0,0.75,7,9.4,942
5,2010,2921998.0,0.75,7,9.4,508
6,2010,37319550.0,0.75,7,9.4,3756
8,2010,5047539.0,0.75,7,9.4,862
9,2010,3579173.0,0.75,7,9.4,296
10,2010,899647.0,0.75,7,9.4,276
11,2010,605282.0,0.75,7,9.4,101
12,2010,18846143.0,0.75,7,9.4,2894
13,2010,9712209.0,0.75,7,9.4,1690
15,2010,1364004.0,0.75,7,9.4,144
16,2010,1570819.0,0.75,7,9.4,317
17,2010,12840545.0,0.75,7,9.4,772
18,2010,6490555.0,0.75,7,9.4,1339
19,2010,3050819.0,0.75,7,9.4,667
20,2010,2858266.0,0.75,7,9.4,458
21,2010,4348464.0,0.75,7,9.4,601
22,2010,4544635.0,0.75,7,9.4,840
23,2010,1327651.0,0.75,7,9.4,315
24,2010,5788784.0,0.75,7,9.4,1126
25,2010,6566440.0,0.75,7,9.4,853
26,2010,9877597.0,0.75,7,9.4,787
27,2010,5310934.0,0.75,7,9.4,743
28,2010,2970615.0,0.75,7,9.4,322
29,2010,5996089.0,0.75,7,9.4,638
30,2010,990730.0,0.75,7,9.4,188
31,2010,1829591.0,0.75,7,9.4,343
32,2010,2702483.0,0.75,7,9.4,455
33,2010,1316807.0,0.75,7,9.4,179
34,2010,8799451.0,0.75,7,9.4,1098
35,2010,2064614.0,0.75,7,9.4,508
36,2010,19399956.0,0.75,7,9.4,1753
37,2010,9574586.0,0.75,7,9.4,3191
38,2010,674752.0,0.75,7,9.4,431
39,2010,11539449.0,0.75,7,9.4,1569
40,2010,3760014.0,0.75,7,9.4,698
41,2010,3837614.0,0.75,7,9.4,537
42,2010,12711406.0,0.75,7,9.4,1531
44,2010,1053994.0,0.75,7,9.4,58
45,2010,4635846.0,0.75,7,9.4,1192
46,2010,816193.0,0.75,7,9.4,257
