Fips,Year,Population,Interest Rate,Month,Unemployment Rate,HPA,HPI
1,2010,4785514.0,0.5,1,9.8,881,289.29
2,2010,713982.0,0.5,1,9.8,24,280.46
4,2010,6407342.0,0.5,1,9.8,1258,273.63
5,2010,2921998.0,0.5,1,9.8,411,245.17
6,2010,37319550.0,0.5,1,9.8,3022,409.99
8,2010,5047539.0,0.5,1,9.8,673,340.36
9,2010,3579173.0,0.5,1,9.8,165,406.64
10,2010,899647.0,0.5,1,9.8,202,440.07
11,2010,605282.0,0.5,1,9.8,20,554.98
12,2010,18846143.0,0.5,1,9.8,3818,299.68
13,2010,9712209.0,0.5,1,9.8,1207,286.36
15,2010,1364004.0,0.5,1,9.8,135,452.77
16,2010,1570819.0,0.5,1,9.8,354,291.94
17,2010,12840545.0,0.5,1,9.8,381,317.4
18,2010,6490555.0,0.5,1,9.8,808,242.35
19,2010,3050819.0,0.5,1,9.8,195,244.15
20,2010,2858266.0,0.5,1,9.8,246,234.11
21,2010,4348464.0,0.5,1,9.8,422,284.96
22,2010,4544635.0,0.5,1,9.8,724,240.87
23,2010,1327651.0,0.5,1,9.8,107,458.4
24,2010,5788784.0,0.5,1,9.8,763,426.17
25,2010,6566440.0,0.5,1,9.8,463,613.93
26,2010,9877597.0,0.5,1,9.8,485,239.86
27,2010,5310934.0,0.5,1,9.8,220,311.07
28,2010,2970615.0,0.5,1,9.8,366,244.74
29,2010,5996089.0,0.5,1,9.8,417,277.32
30,2010,990730.0,0.5,1,9.8,100,357.03
31,2010,1829591.0,0.5,1,9.8,215,246.92
32,2010,2702483.0,0.5,1,9.8,573,225.4
33,2010,1316807.0,0.5,1,9.8,202,392.83
34,2010,8799451.0,0.5,1,9.8,745,486.23
35,2010,2064614.0,0.5,1,9.8,277,303.76
36,2010,19399956.0,0.5,1,9.8,848,573.62
37,2010,9574586.0,0.5,1,9.8,2513,314.5
38,2010,674752.0,0.5,1,9.8,101,252.77
39,2010,11539449.0,0.5,1,9.8,878,244.24
40,2010,3760014.0,0.5,1,9.8,545,202.47
41,2010,3837614.0,0.5,1,9.8,488,378.25
42,2010,12711406.0,0.5,1,9.8,1409,374.25
44,2010,1053994.0,0.5,1,9.8,56,476.0
45,2010,4635846.0,0.5,1,9.8,1104,320.8
46,2010,816193.0,0.5,1,9.8,88,288.55
47,2010,6355518.0,0.5,1,9.8,1185,287.64
48,2010,25241897.0,0.5,1,9.8,6137,221.46
49,2010,2775413.0,0.5,1,9.8,498,323.44
50,2010,625886.0,0.5,1,9.8,51,441.01
51,2010,8024004.0,0.5,1,9.8,1429,403.66
53,2010,6743009.0,0.5,1,9.8,1653,419.98
54,2010,1854265.0,0.5,1,9.8,129,205.06
55,2010,5690538.0,0.5,1,9.8,420,302.65
56,2010,564531.0,0.5,1,9.8,68,266.5
1,2010,4785514.0,0.75,4,9.9,1142,284.97
2,2010,713982.0,0.75,4,9.9,100,282.95
4,2010,6407342.0,0.75,4,9.9,1142,264.18
5,2010,2921998.0,0.75,4,9.9,771,245.87
6,2010,37319550.0,0.75,4,9.9,3210,408.81
8,2010,5047539.0,0.75,4,9.9,895,336.41
9,2010,3579173.0,0.75,4,9.9,346,402.14
10,2010,899647.0,0.75,4,9.9,315,435.48
11,2010,605282.0,0.75,4,9.9,23,557.04
12,2010,18846143.0,0.75,4,9.9,3743,291.39
13,2010,9712209.0,0.75,4,9.9,1778,280.24
15,2010,1364004.0,0.75,4,9.9,195,449.69
16,2010,1570819.0,0.75,4,9.9,542,287.2
17,2010,12840545.0,0.75,4,9.9,1097,313.7
18,2010,6490555.0,0.75,4,9.9,1359,242.64
19,2010,3050819.0,0.75,4,9.9,872,244.98
20,2010,2858266.0,0.75,4,9.9,410,233.64
21,2010,4348464.0,0.75,4,9.9,683,283.72
22,2010,4544635.0,0.75,4,9.9,1178,239.58
23,2010,1327651.0,0.75,4,9.9,306,452.81
24,2010,5788784.0,0.75,4,9.9,904,420.89
25,2010,6566440.0,0.75,4,9.9,714,612.16
26,2010,9877597.0,0.75,4,9.9,803,236.06
27,2010,5310934.0,0.75,4,9.9,972,308.27
