"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2000-01",102.3803,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2000-02",102.4343,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2000-03",102.4737,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2000-04",102.4622,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2000-05",102.3953,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2000-06",102.3432,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2000-07",102.2498,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2000-08",102.2213,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2000-09",102.2407,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2000-10",102.2911,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2000-11",102.2419,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2000-12",102.0664,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2001-01",101.7647,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2001-02",101.4448,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2001-03",101.1506,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2001-04",100.9139,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2001-05",100.7174,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2001-06",100.4627,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2001-07",100.2935,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2001-08",100.1558,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2001-09",100.0618,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2001-10",100.007,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2001-11",100.1901,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2001-12",100.5627,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2002-01",100.9625,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2002-02",101.1029,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2002-03",101.0254,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2002-04",100.7699,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2002-05",100.4838,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2002-06",100.2043,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2002-07",99.93897,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2002-08",99.67747,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2002-09",99.45152,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2002-10",99.31245,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2002-11",99.1786,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2002-12",98.91117,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2003-01",98.54275,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2003-02",98.35546,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2003-03",98.33427,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2003-04",98.43319,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2003-05",98.5491,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2003-06",98.58064,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2003-07",98.59624,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2003-08",98.72375,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2003-09",98.81928,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2003-10",98.82874,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2003-11",98.86593,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2003-12",98.9348,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2004-01",99.05007,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2004-02",99.34191,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2004-03",99.48313,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2004-04",99.54905,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2004-05",99.62389,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2004-06",99.76635,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2004-07",99.95061,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2004-08",99.9554,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2004-09",99.795,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2004-10",99.54099,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2004-11",99.29326,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2004-12",99.13425,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2005-01",99.20319,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2005-02",99.35015,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2005-03",99.46161,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2005-04",99.53435,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2005-05",99.42198,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2005-06",99.36179,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2005-07",99.32973,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2005-08",99.21113,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2005-09",99.2271,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2005-10",99.42213,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2005-11",99.64803,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2005-12",99.84227,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2006-01",100.0072,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2006-02",100.142,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2006-03",100.3459,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2006-04",100.5417,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2006-05",100.7287,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2006-06",100.9772,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2006-07",101.1302,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2006-08",101.2652,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2006-09",101.3839,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2006-10",101.4339,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2006-11",101.4593,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2006-12",101.5659,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2007-01",101.6435,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2007-02",101.6063,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2007-03",101.5839,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2007-04",101.6423,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2007-05",101.7278,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2007-06",101.7982,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2007-07",101.7208,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2007-08",101.5025,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2007-09",101.1143,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2007-10",100.8831,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2007-11",100.6969,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2007-12",100.4727,
