StateName,Fips,Year,Month,total_number_hpa,datetime,total_number_hpa_seasonality
Connecticut,9,2005,1,651,2005-01-01,792.7450396825398
Maine,23,2005,1,400,2005-01-01,535.1783234126983
Massachusetts,25,2005,1,1544,2005-01-01,1738.3229166666667
New Hampshire,33,2005,1,497,2005-01-01,568.7366071428571
Rhode Island,44,2005,1,128,2005-01-01,154.15277777777777
Vermont,50,2005,1,109,2005-01-01,185.9905753968254
New Jersey,34,2005,1,2499,2005-01-01,2898.548363095238
New York,36,2005,1,3183,2005-01-01,4030.496031746032
Pennsylvania,42,2005,1,2070,2005-01-01,2557.3814484126983
Illinois,17,2005,1,3020,2005-01-01,3617.1388888888887
Indiana,18,2005,1,1993,2005-01-01,2548.6788194444443
Michigan,26,2005,1,2520,2005-01-01,3147.16939484127
Ohio,39,2005,1,2468,2005-01-01,3028.4454365079364
Wisconsin,55,2005,1,1770,2005-01-01,2446.5632440476193
Iowa,19,2005,1,539,2005-01-01,1019.3182043650793
Kansas,20,2005,1,593,2005-01-01,787.3023313492064
Minnesota,27,2005,1,1394,2005-01-01,2042.6024305555557
Missouri,29,2005,1,1851,2005-01-01,2221.157490079365
Nebraska,31,2005,1,450,2005-01-01,706.0768849206348
North Dakota,38,2005,1,24,2005-01-01,357.40625000000006
South Dakota,46,2005,1,202,2005-01-01,345.7889384920635
Delaware,10,2005,1,572,2005-01-01,619.9174107142857
District of Columbia,11,2005,1,137,2005-01-01,199.35243055555557
Florida,12,2005,1,20519,2005-01-01,20666.303571428572
Georgia,13,2005,1,7434,2005-01-01,7764.190724206349
Maryland,24,2005,1,1549,2005-01-01,1795.483878968254
North Carolina,37,2005,1,6592,2005-01-01,7051.403273809524
South Carolina,45,2005,1,4006,2005-01-01,4137.038690476191
Virginia,51,2005,1,3850,2005-01-01,4085.2805059523807
West Virginia,54,2005,1,455,2005-01-01,500.468998015873
Alabama,1,2005,1,2986,2005-01-01,3029.952628968254
Kentucky,21,2005,1,1268,2005-01-01,1439.780009920635
Mississippi,28,2005,1,878,2005-01-01,954.0047123015873
Tennessee,47,2005,1,3326,2005-01-01,3602.1081349206347
Arkansas,5,2005,1,1402,2005-01-01,1471.0977182539682
Louisiana,22,2005,1,2073,2005-01-01,2245.4940476190477
Oklahoma,40,2005,1,1461,2005-01-01,1537.6165674603176
Texas,48,2005,1,15847,2005-01-01,16794.419146825396
Arizona,4,2005,1,6104,2005-01-01,6437.8025793650795
Colorado,8,2005,1,3281,2005-01-01,3738.920634920635
Idaho,16,2005,1,1092,2005-01-01,1351.4345238095239
Montana,30,2005,1,313,2005-01-01,432.1103670634921
Nevada,32,2005,1,1996,2005-01-01,2373.9756944444443
New Mexico,35,2005,1,1070,2005-01-01,1123.5850694444443
Utah,49,2005,1,2007,2005-01-01,2381.00248015873
Wyoming,56,2005,1,146,2005-01-01,229.4469246031746
Alaska,2,2005,1,90,2005-01-01,140.41021825396825
California,6,2005,1,14078,2005-01-01,15455.276785714286
Hawaii,15,2005,1,439,2005-01-01,462.0525793650794
Oregon,41,2005,1,2096,2005-01-01,2272.7718253968255
Washington,53,2005,1,3187,2005-01-01,3761.6011904761904
Connecticut,9,2005,2,547,2005-02-01,694.6646825396825
Maine,23,2005,2,431,2005-02-01,565.0295138888889
Massachusetts,25,2005,2,1130,2005-02-01,1429.296130952381
New Hampshire,33,2005,2,359,2005-02-01,442.5491071428571
Rhode Island,44,2005,2,124,2005-02-01,161.83730158730157
Vermont,50,2005,2,113,2005-02-01,145.75248015873018
New Jersey,34,2005,2,2085,2005-02-01,2519.9412202380954
New York,36,2005,2,3356,2005-02-01,4719.326388888889
Pennsylvania,42,2005,2,2867,2005-02-01,3433.99751984127
Illinois,17,2005,2,3795,2005-02-01,4339.231150793651
Indiana,18,2005,2,1986,2005-02-01,2434.762152777778
Michigan,26,2005,2,4089,2005-02-01,4668.219990079365
Ohio,39,2005,2,3092,2005-02-01,3688.749007936508
Wisconsin,55,2005,2,1666,2005-02-01,2260.3519345238096
Iowa,19,2005,2,896,2005-02-01,1362.4253472222222
Kansas,20,2005,2,970,2005-02-01,1163.9273313492063
Minnesota,27,2005,2,1472,2005-02-01,2158.879216269841
Missouri,29,2005,2,2131,2005-02-01,2471.8033234126983
Nebraska,31,2005,2,677,2005-02-01,864.4905753968254
North Dakota,38,2005,2,292,2005-02-01,559.6473214285714
South Dakota,46,2005,2,249,2005-02-01,408.3097718253968
Delaware,10,2005,2,647,2005-02-01,703.7745535714286
District of Columbia,11,2005,2,246,2005-02-01,258.343501984127
Florida,12,2005,2,20176,2005-02-01,20285.136904761905
Georgia,13,2005,2,7654,2005-02-01,7714.461557539683
Maryland,24,2005,2,2602,2005-02-01,2858.9481646825398
North Carolina,37,2005,2,7315,2005-02-01,7582.754464285715
South Carolina,45,2005,2,3911,2005-02-01,4041.7678571428573
Virginia,51,2005,2,4262,2005-02-01,4441.307291666667
West Virginia,54,2005,2,361,2005-02-01,404.218998015873
Alabama,1,2005,2,2308,2005-02-01,2412.4645337301586
Kentucky,21,2005,2,1701,2005-02-01,1861.047867063492
Mississippi,28,2005,2,746,2005-02-01,810.8529265873016
Tennessee,47,2005,2,3118,2005-02-01,3370.3521825396824
