region,sub_region,StateName,Fips,Year,Month,total_number_hpa
North East,New England,Connecticut,9,2005,1,651
North East,New England,Maine,23,2005,1,400
North East,New England,Massachusetts,25,2005,1,1544
North East,New England,New Hampshire,33,2005,1,497
North East,New England,Rhode Island,44,2005,1,128
North East,New England,Vermont,50,2005,1,109
North East,mid atlantic,New Jersey,34,2005,1,2499
North East,mid atlantic,New York,36,2005,1,3183
North East,mid atlantic,Pennsylvania,42,2005,1,2070
Midwest,East North Central,Illinois,17,2005,1,3020
Midwest,East North Central,Indiana,18,2005,1,1993
Midwest,East North Central,Michigan,26,2005,1,2520
Midwest,East North Central,Ohio,39,2005,1,2468
Midwest,East North Central,Wisconsin,55,2005,1,1770
Midwest,West North Central,Iowa,19,2005,1,539
Midwest,West North Central,Kansas,20,2005,1,593
Midwest,West North Central,Minnesota,27,2005,1,1394
Midwest,West North Central,Missouri,29,2005,1,1851
Midwest,West North Central,Nebraska,31,2005,1,450
Midwest,West North Central,North Dakota,38,2005,1,24
Midwest,West North Central,South Dakota,46,2005,1,202
South,South Atlantic,Delaware,10,2005,1,572
South,South Atlantic,District of Columbia,11,2005,1,137
South,South Atlantic,Florida,12,2005,1,20519
South,South Atlantic,Georgia,13,2005,1,7434
South,South Atlantic,Maryland,24,2005,1,1549
South,South Atlantic,North Carolina,37,2005,1,6592
South,South Atlantic,South Carolina,45,2005,1,4006
South,South Atlantic,Virginia,51,2005,1,3850
South,South Atlantic,West Virginia,54,2005,1,455
South,East South Central,Alabama,1,2005,1,2986
South,East South Central,Kentucky,21,2005,1,1268
South,East South Central,Mississippi,28,2005,1,878
South,East South Central,Tennessee,47,2005,1,3326
South,West South Central,Arkansas,5,2005,1,1402
South,West South Central,Louisiana,22,2005,1,2073
South,West South Central,Oklahoma,40,2005,1,1461
South,West South Central,Texas,48,2005,1,15847
West,Mountain,Arizona,4,2005,1,6104
West,Mountain,Colorado,8,2005,1,3281
West,Mountain,Idaho,16,2005,1,1092
West,Mountain,Montana,30,2005,1,313
West,Mountain,Nevada,32,2005,1,1996
West,Mountain,New Mexico,35,2005,1,1070
West,Mountain,Utah,49,2005,1,2007
West,Mountain,Wyoming,56,2005,1,146
West,Pacific,Alaska,2,2005,1,90
West,Pacific,California,6,2005,1,14078
West,Pacific,Hawaii,15,2005,1,439
West,Pacific,Oregon,41,2005,1,2096
West,Pacific,Washington,53,2005,1,3187
North East,New England,Connecticut,9,2005,2,547
North East,New England,Maine,23,2005,2,431
North East,New England,Massachusetts,25,2005,2,1130
North East,New England,New Hampshire,33,2005,2,359
North East,New England,Rhode Island,44,2005,2,124
North East,New England,Vermont,50,2005,2,113
North East,mid atlantic,New Jersey,34,2005,2,2085
North East,mid atlantic,New York,36,2005,2,3356
North East,mid atlantic,Pennsylvania,42,2005,2,2867
Midwest,East North Central,Illinois,17,2005,2,3795
Midwest,East North Central,Indiana,18,2005,2,1986
Midwest,East North Central,Michigan,26,2005,2,4089
Midwest,East North Central,Ohio,39,2005,2,3092
Midwest,East North Central,Wisconsin,55,2005,2,1666
Midwest,West North Central,Iowa,19,2005,2,896
Midwest,West North Central,Kansas,20,2005,2,970
Midwest,West North Central,Minnesota,27,2005,2,1472
Midwest,West North Central,Missouri,29,2005,2,2131
Midwest,West North Central,Nebraska,31,2005,2,677
Midwest,West North Central,North Dakota,38,2005,2,292
Midwest,West North Central,South Dakota,46,2005,2,249
South,South Atlantic,Delaware,10,2005,2,647
South,South Atlantic,District of Columbia,11,2005,2,246
South,South Atlantic,Florida,12,2005,2,20176
South,South Atlantic,Georgia,13,2005,2,7654
South,South Atlantic,Maryland,24,2005,2,2602
South,South Atlantic,North Carolina,37,2005,2,7315
South,South Atlantic,South Carolina,45,2005,2,3911
South,South Atlantic,Virginia,51,2005,2,4262
South,South Atlantic,West Virginia,54,2005,2,361
South,East South Central,Alabama,1,2005,2,2308
South,East South Central,Kentucky,21,2005,2,1701
South,East South Central,Mississippi,28,2005,2,746
South,East South Central,Tennessee,47,2005,2,3118
South,West South Central,Arkansas,5,2005,2,1340
South,West South Central,Louisiana,22,2005,2,1488
South,West South Central,Oklahoma,40,2005,2,1296
South,West South Central,Texas,48,2005,2,15303
West,Mountain,Arizona,4,2005,2,6757
West,Mountain,Colorado,8,2005,2,3105
West,Mountain,Idaho,16,2005,2,1453
West,Mountain,Montana,30,2005,2,208
West,Mountain,Nevada,32,2005,2,3435
West,Mountain,New Mexico,35,2005,2,1066
West,Mountain,Utah,49,2005,2,1826
West,Mountain,Wyoming,56,2005,2,168
West,Pacific,Alaska,2,2005,2,104
West,Pacific,California,6,2005,2,14095
West,Pacific,Hawaii,15,2005,2,597
West,Pacific,Oregon,41,2005,2,2147
West,Pacific,Washington,53,2005,2,3664
North East,New England,Connecticut,9,2005,3,886
North East,New England,Maine,23,2005,3,644
North East,New England,Massachusetts,25,2005,3,2010
North East,New England,New Hampshire,33,2005,3,608
North East,New England,Rhode Island,44,2005,3,192
North East,New England,Vermont,50,2005,3,210
North East,mid atlantic,New Jersey,34,2005,3,3040
North East,mid atlantic,New York,36,2005,3,4296
North East,mid atlantic,Pennsylvania,42,2005,3,3255
Midwest,East North Central,Illinois,17,2005,3,5979
Midwest,East North Central,Indiana,18,2005,3,3343
Midwest,East North Central,Michigan,26,2005,3,3381
Midwest,East North Central,Ohio,39,2005,3,4521
Midwest,East North Central,Wisconsin,55,2005,3,2660
Midwest,West North Central,Iowa,19,2005,3,1744
Midwest,West North Central,Kansas,20,2005,3,1335
Midwest,West North Central,Minnesota,27,2005,3,2400
Midwest,West North Central,Missouri,29,2005,3,3062
Midwest,West North Central,Nebraska,31,2005,3,1173
Midwest,West North Central,North Dakota,38,2005,3,256
