HPI,Fips,datetime,HPI_inf
208.32,1,2000-01-01,327.9910554216868
210.09,1,2000-04-01,327.0346777843955
211.74,1,2000-07-01,324.3866729191091
214.42,1,2000-10-01,326.38795107746074
220.69,1,2001-01-01,331.3011970132108
221.59,1,2001-04-01,330.1867867730901
223.22,1,2001-07-01,328.4953783783784
225.73,1,2001-10-01,333.88111375212225
226.13,1,2002-01-01,332.7777972972973
227.34,1,2002-04-01,331.0171721448468
230.66,1,2002-07-01,332.7003178807947
233.36,1,2002-10-01,336.2236471885337
235.74,1,2003-01-01,337.97589906747123
237.83,1,2003-04-01,337.638505160239
239.46,1,2003-07-01,336.6609230769231
241.04,1,2003-10-01,339.2472504038773
243.25,1,2004-01-01,341.2550724637681
244.81,1,2004-04-01,339.61540127388537
249.31,1,2004-07-01,341.3287668936616
253.05,1,2004-10-01,346.26779057591625
256.42,1,2005-01-01,349.41569968717414
262.46,1,2005-04-01,352.8628888888889
267.95,1,2005-07-01,356.21267548321464
273.43,1,2005-10-01,360.19992338709676
278.9,1,2006-01-01,364.46651999999995
283.52,1,2006-04-01,367.3811958353991
288.13,1,2006-07-01,367.8830327308256
293.58,1,2006-10-01,375.3917260273973
295.64,1,2007-01-01,374.98590390037714
299.71,1,2007-04-01,375.620168695844
300.34,1,2007-07-01,371.5194683982848
302.7,1,2007-10-01,375.47838880688755
304.61,1,2008-01-01,375.100684118279
303.4,1,2008-04-01,369.0103029456932
301.09,1,2008-07-01,358.3301416146805
302.69,1,2008-10-01,363.9247705662356
304.85,1,2009-01-01,367.29051113733595
301.55,1,2009-04-01,362.9832815968608
294.36,1,2009-07-01,352.77038585872486
293.44,1,2009-10-01,354.05923217550276
289.29,1,2010-01-01,350.16248419590136
284.97,1,2010-04-01,345.1364665103477
288.75,1,2010-07-01,347.6556597689289
286.38,1,2010-10-01,346.3594484035169
278.88,1,2011-01-01,336.29423776985226
275.09,1,2011-04-01,329.9549905691116
277.41,1,2011-07-01,329.2188966080916
279.46,1,2011-10-01,331.7903569579082
276.5,1,2012-01-01,327.28443649373884
274.81,1,2012-04-01,323.9971743307982
276.62,1,2012-07-01,323.74484228626704
277.07,1,2012-10-01,323.70328821499453
274.35,1,2013-01-01,318.98267716535435
274.87,1,2013-04-01,317.8959015160232
