HPI,Fips,Year,Month
208.32,1,2000,1
210.09,1,2000,4
211.74,1,2000,7
214.42,1,2000,10
220.69,1,2001,1
221.59,1,2001,4
223.22,1,2001,7
225.73,1,2001,10
226.13,1,2002,1
227.34,1,2002,4
230.66,1,2002,7
233.36,1,2002,10
235.74,1,2003,1
237.83,1,2003,4
239.46,1,2003,7
241.04,1,2003,10
243.25,1,2004,1
244.81,1,2004,4
249.31,1,2004,7
253.05,1,2004,10
256.42,1,2005,1
262.46,1,2005,4
267.95,1,2005,7
273.43,1,2005,10
278.9,1,2006,1
283.52,1,2006,4
288.13,1,2006,7
293.58,1,2006,10
295.64,1,2007,1
299.71,1,2007,4
300.34,1,2007,7
302.7,1,2007,10
304.61,1,2008,1
303.4,1,2008,4
301.09,1,2008,7
302.69,1,2008,10
304.85,1,2009,1
301.55,1,2009,4
294.36,1,2009,7
293.44,1,2009,10
289.29,1,2010,1
284.97,1,2010,4
288.75,1,2010,7
286.38,1,2010,10
278.88,1,2011,1
275.09,1,2011,4
277.41,1,2011,7
279.46,1,2011,10
276.5,1,2012,1
274.81,1,2012,4
276.62,1,2012,7
277.07,1,2012,10
274.35,1,2013,1
274.87,1,2013,4
274.4,1,2013,7
273.25,1,2013,10
275.29,1,2014,1
276.01,1,2014,4
279.05,1,2014,7
280.33,1,2014,10
283.36,1,2015,1
284.41,1,2015,4
285.9,1,2015,7
288.06,1,2015,10
288.62,1,2016,1
292.52,1,2016,4
297.43,1,2016,7
296.56,1,2016,10
298.2,1,2017,1
301.83,1,2017,4
304.79,1,2017,7
306.8,1,2017,10
310.4,1,2018,1
315.08,1,2018,4
317.94,1,2018,7
318.77,1,2018,10
324.76,1,2019,1
329.29,1,2019,4
333.92,1,2019,7
337.94,1,2019,10
342.22,1,2020,1
346.81,1,2020,4
354.08,1,2020,7
360.92,1,2020,10
367.29,1,2021,1
383.58,1,2021,4
173.01,2,2000,1
175.2,2,2000,4
176.35,2,2000,7
176.8,2,2000,10
179.96,2,2001,1
183.7,2,2001,4
186.35,2,2001,7
186.62,2,2001,10
189.59,2,2002,1
194.99,2,2002,4
196.3,2,2002,7
195.84,2,2002,10
197.14,2,2003,1
200.24,2,2003,4
204.77,2,2003,7
212.82,2,2003,10
214.17,2,2004,1
219.33,2,2004,4
230.61,2,2004,7
233.02,2,2004,10
238.91,2,2005,1
247.86,2,2005,4
256.71,2,2005,7
264.46,2,2005,10
268.78,2,2006,1
275.31,2,2006,4
280.54,2,2006,7
282.2,2,2006,10
286.12,2,2007,1
288.95,2,2007,4
287.93,2,2007,7
287.27,2,2007,10
287.16,2,2008,1
287.58,2,2008,4
283.98,2,2008,7
286.68,2,2008,10
287.25,2,2009,1
284.48,2,2009,4
283.26,2,2009,7
284.79,2,2009,10
280.46,2,2010,1
282.95,2,2010,4
284.44,2,2010,7
285.27,2,2010,10
285.12,2,2011,1
284.71,2,2011,4
285.29,2,2011,7
287.51,2,2011,10
285.34,2,2012,1
284.71,2,2012,4
287.67,2,2012,7
289.84,2,2012,10
293.15,2,2013,1
293.88,2,2013,4
297.1,2,2013,7
298.19,2,2013,10
295.48,2,2014,1
301.53,2,2014,4
305.21,2,2014,7
304.57,2,2014,10
307.36,2,2015,1
310.38,2,2015,4
313.97,2,2015,7
315.0,2,2015,10
315.89,2,2016,1
317.88,2,2016,4
319.88,2,2016,7
317.99,2,2016,10
319.44,2,2017,1
319.95,2,2017,4
323.34,2,2017,7
324.51,2,2017,10
322.32,2,2018,1
326.57,2,2018,4
326.27,2,2018,7
326.35,2,2018,10
328.56,2,2019,1
333.38,2,2019,4
335.87,2,2019,7
335.41,2,2019,10
338.77,2,2020,1
342.47,2,2020,4
346.35,2,2020,7
350.37,2,2020,10
352.78,2,2021,1
365.89,2,2021,4
200.71,4,2000,1
202.98,4,2000,4
205.67,4,2000,7
208.79,4,2000,10
213.46,4,2001,1
216.74,4,2001,4
219.88,4,2001,7
222.02,4,2001,10
225.03,4,2002,1
228.01,4,2002,4
231.91,4,2002,7
234.57,4,2002,10
237.38,4,2003,1
239.83,4,2003,4
243.54,4,2003,7
251.77,4,2003,10
256.14,4,2004,1
265.25,4,2004,4
280.85,4,2004,7
292.34,4,2004,10
310.01,4,2005,1
341.95,4,2005,4
371.02,4,2005,7
396.8,4,2005,10
411.6,4,2006,1
420.36,4,2006,4
423.96,4,2006,7
427.65,4,2006,10
425.9,4,2007,1
422.13,4,2007,4
412.84,4,2007,7
405.79,4,2007,10
392.43,4,2008,1
369.73,4,2008,4
342.74,4,2008,7
330.66,4,2008,10
329.58,4,2009,1
305.95,4,2009,4
290.21,4,2009,7
281.63,4,2009,10
273.63,4,2010,1
264.18,4,2010,4
263.67,4,2010,7
257.08,4,2010,10
242.66,4,2011,1
230.8,4,2011,4
232.75,4,2011,7
238.02,4,2011,10
236.87,4,2012,1
239.75,4,2012,4
249.49,4,2012,7
257.01,4,2012,10
263.37,4,2013,1
275.31,4,2013,4
283.68,4,2013,7
291.57,4,2013,10
297.18,4,2014,1
302.5,4,2014,4
305.55,4,2014,7
310.58,4,2014,10
313.03,4,2015,1
319.83,4,2015,4
326.55,4,2015,7
330.93,4,2015,10
334.87,4,2016,1
341.91,4,2016,4
347.59,4,2016,7
353.22,4,2016,10
358.4,4,2017,1
367.91,4,2017,4
375.72,4,2017,7
379.8,4,2017,10
387.99,4,2018,1
395.94,4,2018,4
405.21,4,2018,7
409.71,4,2018,10
415.0,4,2019,1
423.07,4,2019,4
429.47,4,2019,7
436.69,4,2019,10
445.49,4,2020,1
453.4,4,2020,4
464.45,4,2020,7
480.02,4,2020,10
500.26,4,2021,1
538.34,4,2021,4
179.88,5,2000,1
181.6,5,2000,4
182.7,5,2000,7
185.13,5,2000,10
189.74,5,2001,1
190.84,5,2001,4
192.87,5,2001,7
194.79,5,2001,10
195.53,5,2002,1
196.38,5,2002,4
199.61,5,2002,7
202.05,5,2002,10
203.58,5,2003,1
204.89,5,2003,4
207.41,5,2003,7
210.46,5,2003,10
213.09,5,2004,1
216.65,5,2004,4
220.3,5,2004,7
224.12,5,2004,10
227.35,5,2005,1
232.55,5,2005,4
237.68,5,2005,7
240.88,5,2005,10
244.52,5,2006,1
247.83,5,2006,4
250.53,5,2006,7
252.69,5,2006,10
255.04,5,2007,1
256.49,5,2007,4
256.15,5,2007,7
257.38,5,2007,10
257.15,5,2008,1
256.33,5,2008,4
253.36,5,2008,7
254.64,5,2008,10
256.86,5,2009,1
253.64,5,2009,4
249.56,5,2009,7
248.45,5,2009,10
245.17,5,2010,1
245.87,5,2010,4
246.77,5,2010,7
245.58,5,2010,10
241.57,5,2011,1
240.13,5,2011,4
242.15,5,2011,7
243.35,5,2011,10
242.82,5,2012,1
240.33,5,2012,4
243.7,5,2012,7
245.24,5,2012,10
246.07,5,2013,1
246.36,5,2013,4
247.02,5,2013,7
246.72,5,2013,10
247.94,5,2014,1
248.07,5,2014,4
250.03,5,2014,7
253.09,5,2014,10
253.07,5,2015,1
253.87,5,2015,4
257.76,5,2015,7
259.59,5,2015,10
258.11,5,2016,1
262.08,5,2016,4
264.79,5,2016,7
266.25,5,2016,10
269.01,5,2017,1
270.58,5,2017,4
274.11,5,2017,7
275.88,5,2017,10
278.96,5,2018,1
281.04,5,2018,4
283.64,5,2018,7
285.93,5,2018,10
288.0,5,2019,1
291.57,5,2019,4
294.85,5,2019,7
298.09,5,2019,10
299.58,5,2020,1
301.99,5,2020,4
306.88,5,2020,7
313.93,5,2020,10
318.99,5,2021,1
333.82,5,2021,4
261.18,6,2000,1
268.19,6,2000,4
277.19,6,2000,7
285.76,6,2000,10
296.79,6,2001,1
305.88,6,2001,4
312.31,6,2001,7
316.7,6,2001,10
325.16,6,2002,1
336.2,6,2002,4
348.85,6,2002,7
359.05,6,2002,10
367.34,6,2003,1
374.23,6,2003,4
386.91,6,2003,7
411.67,6,2003,10
424.93,6,2004,1
451.52,6,2004,4
497.43,6,2004,7
516.53,6,2004,10
539.06,6,2005,1
570.63,6,2005,4
599.06,6,2005,7
625.78,6,2005,10
638.73,6,2006,1
644.57,6,2006,4
646.73,6,2006,7
642.94,6,2006,10
634.19,6,2007,1
623.52,6,2007,4
600.23,6,2007,7
575.84,6,2007,10
543.62,6,2008,1
498.78,6,2008,4
461.03,6,2008,7
445.14,6,2008,10
441.1,6,2009,1
420.96,6,2009,4
411.7,6,2009,7
413.03,6,2009,10
409.99,6,2010,1
408.81,6,2010,4
411.01,6,2010,7
406.49,6,2010,10
392.03,6,2011,1
385.75,6,2011,4
387.31,6,2011,7
386.1,6,2011,10
381.79,6,2012,1
382.46,6,2012,4
391.3,6,2012,7
399.57,6,2012,10
408.07,6,2013,1
426.93,6,2013,4
448.37,6,2013,7
463.29,6,2013,10
472.96,6,2014,1
485.68,6,2014,4
495.85,6,2014,7
501.44,6,2014,10
506.56,6,2015,1
518.06,6,2015,4
531.36,6,2015,7
538.62,6,2015,10
545.65,6,2016,1
555.19,6,2016,4
567.25,6,2016,7
574.12,6,2016,10
580.62,6,2017,1
592.74,6,2017,4
604.41,6,2017,7
613.22,6,2017,10
623.75,6,2018,1
635.74,6,2018,4
643.76,6,2018,7
643.63,6,2018,10
647.55,6,2019,1
654.05,6,2019,4
660.81,6,2019,7
664.95,6,2019,10
670.96,6,2020,1
678.57,6,2020,4
686.25,6,2020,7
699.96,6,2020,10
718.19,6,2021,1
759.15,6,2021,4
259.63,8,2000,1
265.96,8,2000,4
272.98,8,2000,7
279.07,8,2000,10
286.92,8,2001,1
292.75,8,2001,4
298.15,8,2001,7
300.58,8,2001,10
304.1,8,2002,1
307.44,8,2002,4
311.81,8,2002,7
313.73,8,2002,10
314.62,8,2003,1
315.98,8,2003,4
317.38,8,2003,7
321.08,8,2003,10
323.44,8,2004,1
325.93,8,2004,4
330.51,8,2004,7
333.72,8,2004,10
337.2,8,2005,1
342.21,8,2005,4
347.53,8,2005,7
350.89,8,2005,10
351.92,8,2006,1
353.84,8,2006,4
355.4,8,2006,7
358.71,8,2006,10
359.66,8,2007,1
360.58,8,2007,4
358.29,8,2007,7
359.14,8,2007,10
361.04,8,2008,1
358.87,8,2008,4
351.92,8,2008,7
352.86,8,2008,10
359.33,8,2009,1
353.51,8,2009,4
345.11,8,2009,7
344.17,8,2009,10
340.36,8,2010,1
336.41,8,2010,4
340.65,8,2010,7
339.12,8,2010,10
330.67,8,2011,1
324.83,8,2011,4
328.13,8,2011,7
330.99,8,2011,10
329.26,8,2012,1
330.13,8,2012,4
335.59,8,2012,7
338.55,8,2012,10
342.7,8,2013,1
349.79,8,2013,4
358.44,8,2013,7
361.63,8,2013,10
366.77,8,2014,1
379.32,8,2014,4
387.72,8,2014,7
393.59,8,2014,10
400.9,8,2015,1
417.63,8,2015,4
432.75,8,2015,7
438.78,8,2015,10
446.56,8,2016,1
462.33,8,2016,4
474.83,8,2016,7
481.66,8,2016,10
490.17,8,2017,1
507.63,8,2017,4
515.35,8,2017,7
523.02,8,2017,10
536.72,8,2018,1
550.47,8,2018,4
558.69,8,2018,7
560.46,8,2018,10
568.32,8,2019,1
577.06,8,2019,4
582.26,8,2019,7
587.02,8,2019,10
593.18,8,2020,1
600.41,8,2020,4
609.9,8,2020,7
622.08,8,2020,10
637.77,8,2021,1
683.0,8,2021,4
261.69,9,2000,1
268.73,9,2000,4
274.56,9,2000,7
278.36,9,2000,10
285.2,9,2001,1
291.28,9,2001,4
298.47,9,2001,7
303.68,9,2001,10
310.2,9,2002,1
319.08,9,2002,4
327.75,9,2002,7
334.63,9,2002,10
338.87,9,2003,1
344.46,9,2003,4
352.65,9,2003,7
365.54,9,2003,10
371.93,9,2004,1
384.02,9,2004,4
403.53,9,2004,7
411.28,9,2004,10
421.74,9,2005,1
435.98,9,2005,4
447.97,9,2005,7
457.05,9,2005,10
463.01,9,2006,1
465.28,9,2006,4
465.84,9,2006,7
468.4,9,2006,10
471.48,9,2007,1
467.85,9,2007,4
464.03,9,2007,7
463.31,9,2007,10
462.8,9,2008,1
451.94,9,2008,4
437.99,9,2008,7
434.32,9,2008,10
437.82,9,2009,1
423.5,9,2009,4
412.86,9,2009,7
411.48,9,2009,10
406.64,9,2010,1
402.14,9,2010,4
406.71,9,2010,7
407.37,9,2010,10
396.83,9,2011,1
389.63,9,2011,4
390.74,9,2011,7
393.79,9,2011,10
387.28,9,2012,1
383.32,9,2012,4
384.38,9,2012,7
385.61,9,2012,10
383.82,9,2013,1
382.17,9,2013,4
381.66,9,2013,7
378.65,9,2013,10
377.6,9,2014,1
380.45,9,2014,4
383.13,9,2014,7
382.92,9,2014,10
387.52,9,2015,1
388.82,9,2015,4
386.71,9,2015,7
386.33,9,2015,10
386.29,9,2016,1
388.45,9,2016,4
391.61,9,2016,7
392.36,9,2016,10
386.74,9,2017,1
392.3,9,2017,4
394.76,9,2017,7
394.61,9,2017,10
393.03,9,2018,1
396.37,9,2018,4
399.78,9,2018,7
398.2,9,2018,10
400.05,9,2019,1
406.49,9,2019,4
411.07,9,2019,7
413.49,9,2019,10
415.26,9,2020,1
419.43,9,2020,4
428.51,9,2020,7
440.18,9,2020,10
451.11,9,2021,1
473.68,9,2021,4
234.58,11,2000,1
242.89,11,2000,4
250.69,11,2000,7
255.54,11,2000,10
266.13,11,2001,1
278.39,11,2001,4
289.8,11,2001,7
298.73,11,2001,10
308.2,11,2002,1
319.34,11,2002,4
334.16,11,2002,7
344.1,11,2002,10
351.81,11,2003,1
358.63,11,2003,4
370.01,11,2003,7
389.35,11,2003,10
404.85,11,2004,1
424.81,11,2004,4
454.39,11,2004,7
478.73,11,2004,10
500.43,11,2005,1
529.87,11,2005,4
561.22,11,2005,7
589.46,11,2005,10
598.52,11,2006,1
606.53,11,2006,4
612.45,11,2006,7
622.55,11,2006,10
628.27,11,2007,1
627.56,11,2007,4
629.15,11,2007,7
621.85,11,2007,10
609.53,11,2008,1
593.78,11,2008,4
579.8,11,2008,7
573.42,11,2008,10
575.72,11,2009,1
558.42,11,2009,4
553.31,11,2009,7
560.71,11,2009,10
554.98,11,2010,1
557.04,11,2010,4
565.89,11,2010,7
565.21,11,2010,10
557.62,11,2011,1
565.78,11,2011,4
567.87,11,2011,7
574.6,11,2011,10
578.42,11,2012,1
582.06,11,2012,4
591.44,11,2012,7
603.0,11,2012,10
612.93,11,2013,1
631.16,11,2013,4
652.39,11,2013,7
654.64,11,2013,10
669.74,11,2014,1
685.1,11,2014,4
692.93,11,2014,7
708.17,11,2014,10
714.67,11,2015,1
726.2,11,2015,4
743.67,11,2015,7
758.82,11,2015,10
763.87,11,2016,1
781.46,11,2016,4
786.08,11,2016,7
800.32,11,2016,10
798.79,11,2017,1
