datetime,IntRate,CCI
2000-01-01,5.0,102.9801
2000-02-01,5.24,103.0381
2000-03-01,5.34,102.9493
2000-04-01,5.5,102.929
2000-05-01,5.71,102.9013
2000-06-01,6.0,102.7929
2000-07-01,6.0,102.7562
2000-08-01,6.0,102.7179
2000-09-01,6.0,102.6633
2000-10-01,6.0,102.5438
2000-11-01,6.0,102.267
2000-12-01,6.0,101.686
2001-01-01,5.52,101.1102
2001-02-01,5.0,100.6894
2001-03-01,4.81,100.5078
2001-04-01,4.28,100.4714
2001-05-01,3.73,100.6067
2001-06-01,3.47,100.6936
2001-07-01,3.25,100.5989
2001-08-01,3.16,100.2671
2001-09-01,2.77,99.78885
2001-10-01,2.02,99.61644
2001-11-01,1.58,99.77905
2001-12-01,1.33,100.1726
2002-01-01,1.25,100.5531
2002-02-01,1.25,100.7811
2002-03-01,1.25,100.9873
2002-04-01,1.25,101.0453
2002-05-01,1.25,101.0167
2002-06-01,1.25,100.7407
2002-07-01,1.25,100.3712
2002-08-01,1.25,100.0667
2002-09-01,1.25,99.80033
2002-10-01,1.25,99.59923
2002-11-01,0.83,99.61579
2002-12-01,0.75,99.613
2003-01-01,2.25,99.41634
2003-02-01,2.25,99.2419
2003-03-01,2.25,99.33353
2003-04-01,2.25,99.8119
2003-05-01,2.25,100.2835
2003-06-01,2.0,100.4556
2003-07-01,2.0,100.4581
2003-08-01,2.0,100.3596
2003-09-01,2.0,100.3205
2003-10-01,2.0,100.4839
2003-11-01,2.0,100.8061
2003-12-01,2.0,101.1403
2004-01-01,2.0,101.4483
2004-02-01,2.0,101.3231
2004-03-01,2.0,101.138
2004-04-01,2.0,100.9494
2004-05-01,2.0,100.863
2004-06-01,2.25,101.015
2004-07-01,2.25,101.1379
2004-08-01,2.5,101.1106
2004-09-01,2.75,100.9796
2004-10-01,2.75,100.8812
2004-11-01,3.0,100.952
2004-12-01,3.25,101.1017
2005-01-01,3.25,101.0854
2005-02-01,3.5,100.9138
2005-03-01,3.75,100.6607
2005-04-01,3.75,100.4529
2005-05-01,4.0,100.5279
2005-06-01,4.25,100.8038
2005-07-01,4.25,100.7006
2005-08-01,4.5,100.0486
2005-09-01,4.75,99.25601
2005-10-01,4.75,98.99879
2005-11-01,5.0,99.42506
2005-12-01,5.25,100.0611
2006-01-01,5.5,100.3481
2006-02-01,5.5,100.2944
2006-03-01,5.75,100.1496
2006-04-01,5.75,99.87222
2006-05-01,6.0,99.56135
2006-06-01,6.25,99.53845
2006-07-01,6.25,99.57832
2006-08-01,6.25,99.68664
2006-09-01,6.25,100.0342
2006-10-01,6.25,100.4971
2006-11-01,6.25,100.7517
2006-12-01,6.25,100.879
2007-01-01,6.25,100.9142
2007-02-01,6.25,100.6683
2007-03-01,6.25,100.3687
2007-04-01,6.25,100.1769
2007-05-01,6.25,100.1105
2007-06-01,6.25,100.0656
2007-07-01,6.25,100.0401
2007-08-01,5.75,99.78754
2007-09-01,5.25,99.50636
2007-10-01,5.0,99.18178
2007-11-01,5.0,98.86678
2007-12-01,4.75,98.68144
2008-01-01,3.5,98.5033
2008-02-01,3.5,98.07455
2008-03-01,2.5,97.55766
2008-04-01,2.25,96.97503
2008-05-01,2.25,96.5567
2008-06-01,2.25,96.42515
2008-07-01,2.25,96.64916
2008-08-01,2.25,96.93297
2008-09-01,2.25,97.01685
2008-10-01,1.25,96.62759
2008-11-01,1.25,96.34457
2008-12-01,0.5,96.33633
2009-01-01,0.5,96.34428
2009-02-01,0.5,96.31557
2009-03-01,0.5,96.53828
2009-04-01,0.5,97.03249
2009-05-01,0.5,97.45774
2009-06-01,0.5,97.6338
2009-07-01,0.5,97.58394
2009-08-01,0.5,97.63212
2009-09-01,0.5,97.82825
2009-10-01,0.5,97.86094
2009-11-01,0.5,97.87641
2009-12-01,0.5,98.06844
2010-01-01,0.5,98.24644
2010-02-01,0.75,98.30712
2010-03-01,0.75,98.30371
2010-04-01,0.75,98.28122
2010-05-01,0.75,98.27982
2010-06-01,0.75,98.17516
2010-07-01,0.75,97.86195
2010-08-01,0.75,97.67092
2010-09-01,0.75,97.61498
2010-10-01,0.75,97.72337
2010-11-01,0.75,98.0065
2010-12-01,0.75,98.2825
2011-01-01,0.75,98.40164
2011-02-01,0.75,98.34766
2011-03-01,0.75,98.07964
2011-04-01,0.75,98.01538
2011-05-01,0.75,97.99811
2011-06-01,0.75,97.66004
2011-07-01,0.75,97.02529
2011-08-01,0.75,96.4835
2011-09-01,0.75,96.40958
2011-10-01,0.75,96.66447
2011-11-01,0.75,97.15049
2011-12-01,0.75,97.75168
2012-01-01,0.75,98.2642
2012-02-01,0.75,98.54993
2012-03-01,0.75,98.68762
2012-04-01,0.75,98.72621
2012-05-01,0.75,98.66423
2012-06-01,0.75,98.43726
2012-07-01,0.75,98.35728
2012-08-01,0.75,98.54586
2012-09-01,0.75,98.89701
2012-10-01,0.75,99.14882
2012-11-01,0.75,99.05292
2012-12-01,0.75,98.68216
2013-01-01,0.75,98.53961
2013-02-01,0.75,98.65395
2013-03-01,0.75,98.83916
2013-04-01,0.75,99.07469
2013-05-01,0.75,99.45037
2013-06-01,0.75,99.6446
2013-07-01,0.75,99.60275
2013-08-01,0.75,99.29085
2013-09-01,0.75,98.86764
2013-10-01,0.75,98.606
2013-11-01,0.75,98.71759
2013-12-01,0.75,99.0549
2014-01-01,0.75,99.24691
2014-02-01,0.75,99.32476
2014-03-01,0.75,99.36059
2014-04-01,0.75,99.4417
2014-05-01,0.75,99.42657
2014-06-01,0.75,99.39723
2014-07-01,0.75,99.38814
2014-08-01,0.75,99.49358
2014-09-01,0.75,99.7206
2014-10-01,0.75,100.0398
2014-11-01,0.75,100.4314
2014-12-01,0.75,100.8656
2015-01-01,0.75,101.1582
2015-02-01,0.75,101.1607
2015-03-01,0.75,101.0538
2015-04-01,0.75,100.9932
2015-05-01,0.75,100.9043
2015-06-01,0.75,100.9199
2015-07-01,0.75,100.7929
2015-08-01,0.75,100.5831
2015-09-01,0.75,100.3941
2015-10-01,0.75,100.4265
2015-11-01,0.75,100.5555
2015-12-01,1.0,100.6629
2016-01-01,1.0,100.6774
2016-02-01,1.0,100.6361
2016-03-01,1.0,100.592
2016-04-01,1.0,100.6164
2016-05-01,1.0,100.7519
2016-06-01,1.0,100.7274
2016-07-01,1.0,100.5651
2016-08-01,1.0,100.4478
2016-09-01,1.0,100.4266
2016-10-01,1.0,100.5117
2016-11-01,1.0,100.8761
2016-12-01,1.25,101.2496
2017-01-01,1.25,101.4137
2017-02-01,1.25,101.4001
2017-03-01,1.5,101.3662
2017-04-01,1.5,101.3224
2017-05-01,1.5,101.2436
2017-06-01,1.75,101.1265
2017-07-01,1.75,101.0811
2017-08-01,1.75,101.1878
2017-09-01,1.75,101.3215
2017-10-01,1.75,101.4871
2017-11-01,1.75,101.4649
2017-12-01,2.0,101.3735
2018-01-01,2.0,101.4059
2018-02-01,2.0,101.5824
2018-03-01,2.25,101.692
2018-04-01,2.25,101.6369
2018-05-01,2.25,101.5438
2018-06-01,2.5,101.481
2018-07-01,2.5,101.447
2018-08-01,2.5,101.4591
2018-09-01,2.75,101.5493
2018-10-01,2.75,101.5301
2018-11-01,2.75,101.4119
2018-12-01,3.0,101.2275
2019-01-01,3.0,101.0069
2019-02-01,3.0,101.0654
2019-03-01,3.0,101.301
2019-04-01,3.0,101.4738
2019-05-01,3.0,101.5687
2019-06-01,3.0,101.4674
2019-07-01,3.0,101.2168
2019-08-01,2.75,100.8969
2019-09-01,2.5,100.8969
2019-10-01,2.25,101.1161
2019-11-01,2.25,101.4063
2019-12-01,2.25,101.6524
2020-01-01,2.25,101.6507
2020-02-01,2.25,101.1883
2020-03-01,0.25,100.1102
2020-04-01,0.25,98.93765
2020-05-01,0.25,98.39752
2020-06-01,0.25,98.34374
2020-07-01,0.25,98.36242
2020-08-01,0.25,98.58041
2020-09-01,0.25,98.91788
2020-10-01,0.25,99.07854
2020-11-01,0.25,99.03198
2020-12-01,0.25,99.03529
2021-01-01,0.25,99.04184
2021-02-01,0.25,99.19257
2021-03-01,0.25,99.58816
2021-04-01,0.25,99.85207
2021-05-01,0.25,99.78895
2021-06-01,0.25,99.56326
2021-07-01,0.25,99.05962
2021-08-01,0.25,98.44687
