Fips,Month,Unemployment Rate,Year
5,1,4.3,2000
5,2,4.3,2000
5,3,4.2,2000
5,4,4.2,2000
5,5,4.2,2000
5,6,4.1,2000
5,7,4.1,2000
5,8,4.1,2000
5,9,4.1,2000
5,10,4.1,2000
5,11,4.2,2000
5,12,4.2,2000
5,1,4.3,2001
5,2,4.4,2001
5,3,4.5,2001
5,4,4.5,2001
5,5,4.6,2001
5,6,4.7,2001
5,7,4.7,2001
5,8,4.8,2001
5,9,5.0,2001
5,10,5.1,2001
5,11,5.2,2001
5,12,5.3,2001
5,1,5.4,2002
5,2,5.5,2002
5,3,5.5,2002
5,4,5.4,2002
5,5,5.4,2002
5,6,5.3,2002
5,7,5.2,2002
5,8,5.2,2002
5,9,5.2,2002
5,10,5.2,2002
5,11,5.3,2002
5,12,5.4,2002
5,1,5.4,2003
5,2,5.5,2003
5,3,5.6,2003
5,4,5.7,2003
5,5,5.8,2003
5,6,5.9,2003
5,7,6.0,2003
5,8,6.0,2003
5,9,5.9,2003
5,10,5.8,2003
5,11,5.8,2003
5,12,5.7,2003
5,1,5.7,2004
5,2,5.7,2004
5,3,5.7,2004
5,4,5.7,2004
5,5,5.7,2004
5,6,5.6,2004
5,7,5.5,2004
5,8,5.5,2004
5,9,5.5,2004
5,10,5.5,2004
5,11,5.5,2004
5,12,5.4,2004
5,1,5.4,2005
5,2,5.3,2005
5,3,5.3,2005
5,4,5.2,2005
5,5,5.2,2005
5,6,5.2,2005
5,7,5.2,2005
5,8,5.3,2005
5,9,5.3,2005
5,10,5.3,2005
5,11,5.2,2005
5,12,5.2,2005
5,1,5.1,2006
5,2,5.1,2006
5,3,5.2,2006
5,4,5.2,2006
5,5,5.3,2006
5,6,5.3,2006
5,7,5.3,2006
5,8,5.3,2006
5,9,5.3,2006
5,10,5.3,2006
5,11,5.3,2006
5,12,5.3,2006
5,1,5.3,2007
5,2,5.3,2007
5,3,5.3,2007
5,4,5.3,2007
5,5,5.4,2007
5,6,5.5,2007
5,7,5.5,2007
5,8,5.5,2007
5,9,5.5,2007
5,10,5.5,2007
5,11,5.4,2007
5,12,5.2,2007
5,1,5.1,2008
5,2,5.0,2008
5,3,4.9,2008
5,4,5.0,2008
5,5,5.0,2008
5,6,5.1,2008
5,7,5.3,2008
5,8,5.4,2008
5,9,5.6,2008
5,10,5.9,2008
5,11,6.3,2008
5,12,6.7,2008
5,1,7.0,2009
5,2,7.4,2009
5,3,7.6,2009
5,4,7.8,2009
5,5,7.9,2009
5,6,7.9,2009
5,7,7.9,2009
5,8,7.8,2009
5,9,7.8,2009
5,10,7.8,2009
5,11,7.9,2009
5,12,7.9,2009
5,1,7.9,2010
5,2,7.9,2010
5,3,7.9,2010
5,4,7.8,2010
5,5,7.8,2010
5,6,7.7,2010
5,7,7.7,2010
5,8,7.8,2010
5,9,7.9,2010
5,10,7.9,2010
5,11,8.0,2010
5,12,8.0,2010
5,1,8.0,2011
5,2,8.0,2011
5,3,8.0,2011
5,4,8.0,2011
5,5,8.0,2011
5,6,8.0,2011
5,7,8.0,2011
5,8,8.0,2011
5,9,7.9,2011
5,10,7.8,2011
5,11,7.7,2011
5,12,7.5,2011
5,1,7.4,2012
5,2,7.3,2012
5,3,7.3,2012
5,4,7.3,2012
5,5,7.3,2012
5,6,7.3,2012
5,7,7.3,2012
5,8,7.2,2012
5,9,7.2,2012
5,10,7.2,2012
5,11,7.2,2012
5,12,7.2,2012
5,1,7.2,2013
5,2,7.2,2013
5,3,7.2,2013
5,4,7.2,2013
5,5,7.2,2013
5,6,7.1,2013
5,7,7.1,2013
5,8,7.1,2013
5,9,7.0,2013
5,10,6.9,2013
5,11,6.7,2013
5,12,6.6,2013
5,1,6.5,2014
5,2,6.3,2014
5,3,6.2,2014
5,4,6.0,2014
5,5,6.0,2014
5,6,5.9,2014
5,7,5.8,2014
5,8,5.7,2014
5,9,5.7,2014
5,10,5.6,2014
5,11,5.6,2014
5,12,5.5,2014
5,1,5.5,2015
5,2,5.4,2015
5,3,5.4,2015
