Year,Fips,Month,Unemployment Rate
1976,1,1,6.6
1976,1,2,6.6
1976,1,3,6.6
1976,1,4,6.5
1976,1,5,6.4
1976,1,6,6.5
1976,1,7,6.6
1976,1,8,6.7
1976,1,9,6.8
1976,1,10,6.9
1976,1,11,7.0
1976,1,12,7.2
1977,1,1,7.3
1977,1,2,7.4
1977,1,3,7.5
1977,1,4,7.5
1977,1,5,7.5
1977,1,6,7.4
1977,1,7,7.3
1977,1,8,7.1
1977,1,9,6.9
1977,1,10,6.8
1977,1,11,6.6
1977,1,12,6.5
1978,1,1,6.4
1978,1,2,6.3
1978,1,3,6.3
1978,1,4,6.2
1978,1,5,6.2
1978,1,6,6.2
1978,1,7,6.3
1978,1,8,6.4
1978,1,9,6.5
1978,1,10,6.6
1978,1,11,6.7
1978,1,12,6.8
1979,1,1,6.9
1979,1,2,7.0
1979,1,3,7.0
1979,1,4,7.1
1979,1,5,7.2
1979,1,6,7.2
1979,1,7,7.3
1979,1,8,7.3
1979,1,9,7.4
1979,1,10,7.4
1979,1,11,7.4
1979,1,12,7.5
1980,1,1,7.6
1980,1,2,7.7
1980,1,3,8.0
1980,1,4,8.3
1980,1,5,8.7
1980,1,6,9.0
1980,1,7,9.2
1980,1,8,9.3
1980,1,9,9.4
1980,1,10,9.5
1980,1,11,9.5
1980,1,12,9.6
1981,1,1,9.7
1981,1,2,9.8
1981,1,3,9.9
1981,1,4,10.0
1981,1,5,10.1
1981,1,6,10.3
1981,1,7,10.5
1981,1,8,10.8
1981,1,9,11.2
1981,1,10,11.6
1981,1,11,12.0
1981,1,12,12.4
1982,1,1,12.7
1982,1,2,13.0
1982,1,3,13.2
1982,1,4,13.5
1982,1,5,13.7
1982,1,6,13.9
1982,1,7,14.1
1982,1,8,14.3
1982,1,9,14.5
1982,1,10,14.7
1982,1,11,14.9
1982,1,12,14.9
1983,1,1,14.9
1983,1,2,14.8
1983,1,3,14.6
1983,1,4,14.4
1983,1,5,14.2
1983,1,6,14.0
1983,1,7,13.8
1983,1,8,13.6
1983,1,9,13.3
1983,1,10,13.0
1983,1,11,12.7
1983,1,12,12.5
1984,1,1,12.3
1984,1,2,12.0
1984,1,3,11.8
1984,1,4,11.7
1984,1,5,11.5
1984,1,6,11.4
1984,1,7,11.2
1984,1,8,11.1
1984,1,9,10.9
1984,1,10,10.7
1984,1,11,10.5
1984,1,12,10.3
1985,1,1,10.1
1985,1,2,10.0
1985,1,3,9.9
1985,1,4,9.8
1985,1,5,9.6
1985,1,6,9.5
1985,1,7,9.4
1985,1,8,9.3
1985,1,9,9.2
1985,1,10,9.2
1985,1,11,9.2
1985,1,12,9.3
1986,1,1,9.4
1986,1,2,9.5
1986,1,3,9.7
