LOGRECNO,B24011_001,B24011_002,B24011_003,B24011_004,B24011_005,B24011_006,B24011_007,B24011_008,B24011_009,B24011_010,B24011_011,B24011_012,B24011_013,B24011_014,B24011_015,B24011_016,B24011_017,B24011_018,B24011_019,B24011_020,B24011_021,B24011_022,B24011_023,B24011_024,B24011_025,B24011_026,B24011_027,B24011_028,B24011_029,B24011_030,B24011_031,B24011_032,B24011_033,B24011_034,B24011_035,B24011_036,NAME,CBSACode
186,30252,52460,60983,60829,61301,62639,50481,74909,64236,41683,32466,42361,50498,30685,75215,76493,52468,14214,26721,48408,49607,47638,11932,10878,14428,25901,18578,32576,38044,38032,32289,50540,27316,20662,33665,26393,"Aberdeen, WA Micro Area",10140
187,26913,39799,43718,41986,47743,49839,49421,41209,69859,34482,35846,25015,40048,29110,40502,45935,30471,16946,23525,30876,24520,31725,13105,18336,12738,20873,15630,22756,31365,10551,30598,34704,26894,24743,29219,18618,"Abilene, TX Metro Area",10180
188,26152,46614,49068,50161,41502,64176,62983,70131,60033,40753,45270,14964,47792,10639,43050,45996,29866,11223,23636,27120,10833,50078,8611,8483,10575,22669,15302,24678,35833,16823,32047,52035,30098,35411,34194,15833,"Adrian, MI Micro Area",10300
189,31280,50213,52052,52094,51998,60491,60660,64564,51687,37167,33954,61398,39291,24721,50602,55490,34100,14546,19924,56475,40881,62752,10718,17870,14419,27782,29088,27372,35363,14211,35417,35607,29372,31428,30185,21885,"Akron, OH Metro Area",10420
190,23843,42177,52281,49995,52303,51369,58162,24624,.,36538,37741,.,40273,20668,33345,29505,42061,12392,18743,49250,44848,60826,7683,11823,15052,21402,16310,22177,33040,14012,35077,34093,18031,11334,25755,20505,"Alamogordo, NM Micro Area",10460
191,26027,43038,61158,61596,60854,40986,39086,51057,52759,29556,23101,26207,40047,20974,40635,46190,33441,15495,19952,27457,26286,43475,10248,14792,10897,24212,21636,24961,31364,36038,31054,30603,21920,23815,26513,15277,"Albany, GA Metro Area",10500
192,28914,38910,49245,51822,35333,39349,51903,38273,31591,33073,36077,32746,33324,31563,35901,55694,22200,13641,21611,40125,21319,63093,11331,8830,7490,22651,21768,24644,36443,12160,45620,50236,36036,35995,38574,28813,"Albany-Lebanon, OR Micro Area",10540
193,37224,53119,57928,62183,52532,64576,63208,77861,51224,43824,40605,68414,40703,45477,50759,60797,36564,18654,22616,56250,31656,68151,11735,22313,16192,30595,24905,31944,40869,13164,40302,41814,30485,35603,27016,24258,"Albany-Schenectady-Troy, NY Metro Area",10580
194,28248,47280,61186,71105,42793,60008,51818,64404,53964,40690,21185,26607,41535,44402,32113,63097,29331,14310,20124,26178,25830,27483,10582,19918,11983,27908,29906,26819,22444,31064,20777,23295,26174,28391,30308,17936,"Albertville, AL Micro Area",10700
195,31005,48385,52870,62165,44641,65006,60286,73192,54464,35597,33993,58107,33289,31353,52141,60900,40008,16081,18437,43876,33863,51490,11968,16659,16613,25827,23689,27156,31064,14244,28841,35762,29636,30186,31571,21361,"Albuquerque, NM Metro Area",10740
196,25938,41639,43576,52923,39570,44690,31310,65813,44552,36645,40918,35815,35508,48919,45994,65969,29177,14089,16569,40359,19402,45940,10681,11828,15510,23451,17351,24347,30182,13865,29732,34040,25604,27820,31254,18194,"Alexandria, LA Metro Area",10780
197,31868,51142,60457,73001,48177,49541,39327,70580,44551,34518,23815,38134,49000,11434,52746,58929,30960,11695,21491,24367,23231,118214,6871,13497,10142,26763,26196,26986,33113,17135,35183,40592,32401,34042,33139,27917,"Allegan, MI Micro Area",10880
198,33662,52672,66259,71758,52564,63606,61226,66980,61257,41397,40441,60445,45027,25454,50674,65849,30118,15870,20330,42121,23734,71469,11433,17586,13205,29551,29294,29631,39541,16606,34973,42200,31121,32176,35710,23772,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",10900
199,27517,41133,42439,46261,37355,47479,46506,53768,70995,32141,33730,45106,30931,36442,41513,56098,23006,17215,24311,53367,9659,55964,10254,15719,17516,25233,24481,25667,36260,16729,31732,41956,28032,28276,32418,22363,"Altoona, PA Metro Area",11020
200,30224,45830,49011,49630,48364,56156,57850,70585,45538,40425,32702,70699,43518,17118,52247,61899,34333,17592,20181,33868,41916,31783,13723,19823,15147,25505,25385,25508,29234,9409,27086,38076,30943,27232,44509,18958,"Amarillo, TX Metro Area",11100
201,25580,37526,44859,50187,43120,20263,31611,17601,23762,33706,33553,175104,32606,33852,40898,50929,29535,10806,27881,65048,65705,46464,7821,20203,9813,19051,23689,18348,31967,8298,30468,36622,31915,37814,30426,17898,"Ames, IA Metro Area",11180
202,40803,59843,60034,61539,55429,77562,76105,92193,52314,50171,50750,72111,41885,43460,69583,75237,37893,22456,23900,67201,50392,75984,19208,21636,21874,32365,31618,32485,44390,70583,41660,49632,36819,34753,43915,28215,"Anchorage, AK Metro Area",11260
203,28442,44148,52402,57152,41827,45931,35833,54540,36727,32747,31265,38976,35999,17440,50358,51753,41827,13906,15714,33158,34196,33013,9366,21724,20484,26533,27819,26250,24030,10293,21662,31646,30636,31764,36526,19127,"Anderson, IN Metro Area",11300
204,30549,46645,51065,63242,36729,61798,80668,65375,37760,39589,47460,76717,33657,36598,45777,46432,40455,11996,23249,36260,34947,36296,7324,15108,11037,24338,23020,25080,31275,.,29190,33655,29625,33696,27611,23301,"Anderson, SC Metro Area",11340
205,32532,56536,72618,81396,55214,62599,69605,74424,38938,40234,33533,51537,41052,31122,57702,61152,29243,15162,21894,31528,25512,60544,11381,16571,11228,25189,21488,26762,40272,.,35857,41666,30128,31190,22065,28641,"Ann Arbor, MI Metro Area",11460
206,27310,40116,42354,39057,46431,59318,64275,57788,.,33515,16923,40991,35035,26050,39824,55288,25455,12445,16854,42587,14854,44418,11807,15615,8076,21862,15852,26214,36589,.,26294,48255,31120,33040,39620,25099,"Anniston-Oxford, AL Metro Area",11500
207,34141,50360,51742,56935,50256,65618,52441,67230,46704,40383,41399,46103,42851,31916,46581,54023,28814,15025,19898,60390,36113,61808,9135,15117,19076,26557,24264,27464,45913,19251,45380,49852,35866,39741,31736,20157,"Appleton, WI Metro Area",11540
208,27174,41164,43186,47469,36959,46757,47370,47208,36663,29961,37111,55995,25509,25279,50603,61239,26949,15870,22823,38841,20242,41840,12587,14340,9426,25251,25931,25039,26926,19387,26423,31105,24677,29674,25557,13539,"Asheville, NC Metro Area",11700
209,26936,39169,38973,32355,44348,46458,37083,60669,102813,31101,36408,30450,31406,30484,51057,66136,30971,15441,19411,36570,23799,38885,6629,17734,11689,21740,18994,22925,31242,13027,26702,46442,31630,30958,42957,27197,"Ashtabula, OH Micro Area",11780
210,27183,40243,36813,33942,40940,63264,27292,70438,.,31416,36807,21981,31273,14444,43728,51961,30221,16075,17385,33438,15227,36069,9986,14723,23205,27356,21731,29410,30803,14450,31299,26039,25477,25067,22071,38178,"Athens, TX Micro Area",11980
211,25604,39371,42305,49438,31715,34983,50852,46085,28911,32833,30069,42209,38981,20829,48085,50688,29622,13645,11747,35530,21993,43864,10950,18483,16902,20361,16466,25424,21663,17257,21710,28095,27149,31760,25859,22680,"Athens-Clarke County, GA Metro Area",12020
212,33704,54993,62922,69901,55896,68420,71327,68207,52003,40699,37286,71522,38778,38276,50442,61569,32700,16887,24303,36548,29786,42667,13138,17016,14454,28984,27996,29280,28839,20790,22639,40517,27350,27507,32012,21451,"Atlanta-Sandy Springs-Marietta, GA Metro Area",12060
213,31923,52584,58781,61635,54198,67268,62072,80549,100469,47734,54535,48896,47940,21408,61780,76343,29508,24631,27249,43477,34814,81300,20083,20860,30566,28261,27653,28676,40335,15815,39958,49745,27167,29610,31568,18089,"Atlantic City-Hammonton, NJ Metro Area",12100
214,31563,46612,53906,51131,55711,47386,47417,51607,41167,44421,40422,134525,46018,40058,47435,57679,32938,14623,21883,51815,35855,61125,10464,13375,6547,25341,21408,26912,35878,22297,37244,35365,30956,30748,40063,22459,"Auburn, NY Micro Area",12180
215,27329,44930,49570,58518,40572,44663,60687,31639,40605,38443,33671,77026,42264,30162,50471,54457,20636,12452,25242,55019,12431,56296,8755,16606,11250,21498,15102,23507,30064,7438,23008,40377,25197,24989,27301,8904,"Auburn-Opelika, AL Metro Area",12220
216,30846,49800,53874,55283,50456,62558,59798,65761,52141,39448,41850,65454,38201,36033,52223,61257,41523,18453,23122,50411,51728,40608,12277,16142,14059,24682,22061,25461,33171,18851,26509,40422,26999,28936,30003,21750,"Augusta-Richmond County, GA-SC Metro Area",12260
217,30262,42071,44026,54532,35333,50497,41592,56442,62879,40208,40898,42238,38805,31028,42390,67439,24883,18577,22284,43300,35542,46195,13350,24167,11673,26174,21348,27568,31392,21612,30553,36190,30313,40637,20986,22975,"Augusta-Waterville, ME Micro Area",12300
218,34118,52477,60798,66733,54062,72598,73809,77324,50418,40227,34956,83333,36918,35609,52015,61690,35022,16632,24152,43228,39418,49471,13833,13607,15122,28933,31151,27391,25466,6470,21667,35276,26732,29132,27389,19426,"Austin-Round Rock-San Marcos, TX Metro Area",12420
219,26234,53473,52284,51826,55783,71904,65621,77031,72310,31166,29769,112120,29679,28622,62182,71257,47765,16280,21051,65165,23820,69752,12280,17137,12310,23727,21329,24825,24536,14469,40114,38608,25307,28042,30237,20263,"Bakersfield-Delano, CA Metro Area",12540
220,42118,61800,70098,74827,61187,79426,86686,76396,56503,46260,40617,74876,44696,46349,60988,70454,37857,20787,25327,50214,35565,62574,12733,21469,14511,34064,31189,35614,40001,14142,36994,43047,32715,38110,32528,25055,"Baltimore-Towson, MD Metro Area",12580
221,27638,44590,48115,52326,40824,50889,56429,51493,38050,35370,31487,12363,41810,15150,52221,60599,33603,14994,21170,35265,13338,42000,11930,8779,14431,23180,18567,24664,33060,19044,33370,36355,25946,27250,26455,20355,"Bangor, ME Metro Area",12620
222,33206,54343,53105,57011,50519,67234,52389,80484,62036,42479,36680,63795,57679,14595,61183,71029,36145,21169,27234,53024,26606,76346,14659,18120,25105,30571,30645,30530,32421,16009,26863,46338,24874,26596,27310,21098,"Barnstable Town, MA Metro Area",12700
223,31918,47052,53700,56085,49596,57392,50741,70163,45950,36990,40622,42082,36106,31720,51073,60703,28876,14502,19878,37339,31572,41338,10652,15057,10823,27030,22032,29972,35172,22627,32481,40257,36964,47343,31293,20536,"Baton Rouge, LA Metro Area",12940
224,26922,48272,55392,60203,47843,60519,71962,37401,43722,29013,40258,87800,20976,21518,46226,57007,32652,16196,20812,47326,30345,58841,11922,17305,11690,26016,22448,27329,31606,11744,32813,38768,28446,26458,36183,35722,"Battle Creek, MI Metro Area",12980
225,31401,48932,47894,56547,32427,80163,80187,76614,82083,35419,36083,143607,35648,15104,58556,71388,40732,18773,22003,55438,45841,56309,10025,10962,23941,22911,16739,27443,37080,20625,35305,42241,30368,41344,21916,20401,"Bay City, MI Metro Area",13020
226,30556,44674,50436,51335,48184,72615,75676,75391,60082,36212,34454,61052,40030,23794,49435,66414,31865,15335,17344,39029,24823,41684,10333,15095,11348,23497,20422,27047,32422,20158,30177,45697,36595,41212,20620,30832,"Beaumont-Port Arthur, TX Metro Area",13140
227,32071,45105,50017,51431,40398,61015,66152,60285,46875,21142,53190,30614,16045,26477,50503,54125,29720,17480,21976,39841,23561,48096,9611,20000,20369,27438,21127,28412,37059,21464,41290,42775,31804,31184,36106,31905,"Beaver Dam, WI Micro Area",13180
228,30384,41047,45787,44801,48112,73717,82089,60833,140202,35501,37056,45668,34019,2499,43170,63790,33350,14160,12087,28989,21056,29681,15382,8858,15464,18484,15299,21705,32937,.,45278,28979,41231,30823,60007,40231,"Beckley, WV Micro Area",13220
229,31010,44362,51372,59985,42202,42245,36066,39970,48343,31830,46170,41395,26240,16839,61489,71865,36144,18164,25607,79344,72798,79882,11827,16227,17210,26406,27385,25386,34214,19199,32598,55920,31541,34707,28116,26339,"Bellingham, WA Metro Area",13380
230,29894,45314,47424,56844,44460,60609,66287,60813,42060,26656,48893,216295,31042,14620,47146,64393,32019,16745,21445,55530,66420,54728,9315,16401,19867,20759,16318,24354,31517,21112,29879,35837,24090,25323,19375,11443,"Bend, OR Metro Area",13460
231,26397,45922,50568,51506,46728,47396,37302,63861,40851,36425,42452,22313,40651,30813,50253,55491,37590,14964,20099,49771,48618,50371,11131,15490,16787,23352,27907,21863,40049,20191,40670,40673,23163,22590,28243,16166,"Billings, MT Metro Area",13740
232,30916,47800,54870,56802,46972,70283,78844,65874,38284,37969,43248,33070,34139,45602,43244,54353,28005,17806,21792,48687,21481,65608,9750,18980,17228,22268,19087,23235,35874,25900,40036,32233,27239,28531,32146,22892,"Binghamton, NY Metro Area",13780
