RegionID,SizeRank,RegionName,StateName,CountyName,CBSACode,medianHousePrice,LOGRECNO,Total:,"Management, business, science, and arts occupations:","Management, business, and financial occupations:",Management occupations,Business and financial operations occupations,"Computer, engineering, and science occupations:",Computer and mathematical occupations,Architecture and engineering occupations,"Life, physical, and social science occupations","Education, legal, community service, arts, and media occupations:",Community and social service occupations,Legal occupations,"Educational instruction, and library occupations","Arts, design, entertainment, sports, and media occupations",Healthcare practitioners and technical occupations:,Health diagnosing and treating practitioners and other technical occupations,Health technologists and technicians,Service occupations:,Healthcare support occupations,Protective service occupations:,"Firefighting and prevention, and other protective service workers including supervisors",Law enforcement workers including supervisors,Food preparation and serving related occupations,Building and grounds cleaning and maintenance occupations,Personal care and service occupations,Sales and office occupations:,Sales and related occupations,Office and administrative support occupations,"Natural resources, construction, and maintenance occupations:","Farming, fishing, and forestry occupations",Construction and extraction occupations,"Installation, maintenance, and repair occupations","Production, transportation, and material moving occupations:",Production occupations,Transportation occupations,Material moving occupations,NAME
394913,1,"New York, NY",NY,Hudson,35620,470795.5,514,47113,74414,85991,90588,80772,87212,92777,80730,73618,57102,49026,102192,52253,57773,73145,83015,44574,25328,25185,52233,35873,84602,21698,25322,20176,39051,36990,40041,45309,25558,42140,50937,31686,35178,35697,24717,"New York-Newark-Jersey City, NY-NJ-PA Metro Area"
753899,2,"Los Angeles-Long Beach-Anaheim, CA",CA,Orange,31080,660781.0,455,37171,66374,72462,77229,67390,81723,82397,86620,61351,50697,47395,97378,41004,51910,67638,85518,42077,21924,22284,39296,28922,92261,20549,22135,19028,32220,31254,33431,35217,22528,32685,41423,28294,29756,32425,23124,"Los Angeles-Long Beach-Anaheim, CA Metro Area"
394463,3,"Chicago, IL",IL,Grundy,16980,237103.0,269,42090,66272,77095,81602,71763,78458,82181,78769,59316,48034,42082,102441,45483,42096,61470,71022,40246,21915,22948,51573,32377,81082,17553,24357,17816,36080,37358,35432,47271,29130,46010,50369,31679,34685,38261,24686,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area"
394514,4,"Dallas-Fort Worth, TX",TX,Parker,19100,243318.0,296,40397,62485,74832,80673,66759,80151,81496,80984,61218,48320,41999,87584,47491,43149,61533,73837,40180,20478,24935,47201,35152,61884,16316,19701,18092,34522,33942,34787,36589,25529,35443,42092,30886,32185,41205,23746,"Dallas-Fort Worth-Arlington, TX Metro Area"
394974,5,"Philadelphia, PA",PA,Chester,37980,239224.0,544,43351,66208,77745,82234,71380,76870,80523,79165,66273,47839,43520,82323,45747,40860,66066,76025,40948,21378,24733,46000,27480,76375,14779,24351,17459,36363,34597,36945,45446,26821,43523,50057,31476,37230,34394,23789,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area"
394692,6,"Houston, TX",TX,Harris,26420,210062.5,390,39451,61622,73326,77178,67438,82030,77223,92513,76029,49999,42618,80337,50244,36692,61168,71677,36571,20450,23236,40240,27421,61087,16691,20175,19451,32189,30832,33801,35093,23788,32141,40504,33849,39679,39828,23102,"Houston-The Woodlands-Sugar Land, TX Metro Area"
395209,7,"Washington, DC",DC,Warren,47900,419333.0,673,54448,82065,93519,100750,86119,97988,100365,95403,90674,60761,51829,133662,50018,61171,65374,76615,42058,24651,27854,65740,51565,80702,17537,23176,18937,39002,31516,41893,40714,31756,37580,47412,30693,38152,32366,21254,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area"
394856,8,"Miami-Fort Lauderdale, FL",FL,Broward,33100,291728.5,481,32401,52019,61166,62297,56854,62406,66820,63508,51488,42375,40598,75354,40738,38697,51970,63430,35831,21461,22969,37950,28144,66396,19771,19784,21466,30217,30062,30329,31345,20032,30234,36977,26125,27132,30821,20299,"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area"
394347,9,"Atlanta, GA",GA,Fulton,12060,224004.0,210,40473,62370,71645,76694,65988,77118,79774,77475,58818,45877,40114,90786,42430,42855,60059,68178,39112,21020,26155,39591,30378,49163,15093,22244,19126,33936,35256,33432,34629,22249,31673,42290,31210,32302,40375,22442,"Atlanta-Sandy Springs-Roswell, GA Metro Area"
394404,10,"Boston, MA",MA,Norfolk,14460,481678.5,239,50811,73652,84050,90487,77039,90119,95270,92443,67114,50924,46419,91049,47427,46035,70502,80459,44129,25086,28015,58513,36056,85628,20710,28798,20159,38525,40147,37828,50301,17424,50773,50631,31890,37444,35456,21820,"Boston-Cambridge-Newton, MA-NH Metro Area"
395057,11,"San Francisco, CA",CA,Alameda,41860,1113647.0,599,59521,91738,100479,108464,88993,111818,121118,102167,94630,57375,55074,141614,45899,60504,95935,102440,55785,26160,29842,51241,32606,102066,22210,29843,21280,45381,46375,44603,50709,16855,50628,53507,36305,41263,40101,27325,"San Francisco-Oakland-Hayward, CA Metro Area"
394532,12,"Detroit, MI",MI,Lapeer,19820,170184.0,308,39715,63206,70876,76592,62389,80056,72123,87795,54773,42814,41665,66906,40399,41209,56871,68181,36702,19396,21077,50438,34608,62011,14837,21529,15867,31970,31220,32339,41841,20864,40489,47498,31867,37221,31985,24037,"Detroit-Warren-Dearborn, MI Metro Area"
395025,13,"Riverside, CA",CA,Riverside,40140,367991.5,573,35029,60485,62372,67281,56829,71213,70829,71903,70198,44849,49846,65664,42296,28454,62158,81809,41550,22191,24210,67488,36320,90908,17091,24647,19179,31612,30065,32520,40158,17573,39167,43817,30343,33246,38165,23302,"Riverside-San Bernardino-Ontario, CA Metro Area"
394976,14,"Phoenix, AZ",AZ,Maricopa,38060,258887.0,545,37124,57287,63258,71115,56914,75121,75396,82386,55580,40747,42115,74197,38115,40439,60737,71621,41085,22021,24869,46409,34695,62530,17876,21308,20953,33128,34149,32624,36497,23852,33958,41441,30766,34043,36663,22251,"Phoenix-Mesa-Scottsdale, AZ Metro Area"
395078,15,"Seattle, WA",WA,Pierce,42660,507511.5,609,50711,75937,81914,88091,76169,101050,111223,91248,65696,46758,41450,100540,42041,43301,70785,80086,49314,25985,28133,60013,41650,86041,22544,25977,22035,41096,45424,39159,51353,25745,50740,56629,35831,41742,39273,27078,"Seattle-Tacoma-Bellevue, WA Metro Area"
